question_id,source_hotpot_id,gold_doc_id,gold_title,gold_sentence,current_question,rewritten_question,status,notes
sf_cand_0016,5ae35f555542991a06ce99a5,doc_robert_zildjian_b2fe2ea4ef,Robert Zildjian,"Robert Zildjian (July 14, 1923 – March 28, 2013) was the founder of Sabian Cymbals, the second largest manufacturer of cymbals in the world.","Rewrite this fact into a natural semantic question: Robert Zildjian (July 14, 1923 – March 28, 2013) was the founder of Sabian Cymbals, the second largest manufacturer of cymbals in the world.",,todo,
sf_cand_0017,5a895da5554299669944a51f,doc_in_our_image_17e11c67bd,In Our Image,"In Our Image is an album by The Everly Brothers, originally released in 1966.","Rewrite this fact into a natural semantic question: In Our Image is an album by The Everly Brothers, originally released in 1966.",,todo,
sf_cand_0018,5a7f6c285542994857a7673a,doc_c_r_a_z_y_5b01745927,C.R.A.Z.Y.,C.R.A.Z.Y. is a 2005 French-language Canadian coming-of-age drama film directed by Jean-Marc Vallée and co-written by Vallée and François Boulay.,Rewrite this fact into a natural semantic question: C.R.A.Z.Y. is a 2005 French-language Canadian coming-of-age drama film directed by Jean-Marc Vallée and co-written by Vallée and François Boulay.,,todo,
sf_cand_0019,5a826d2255429966c78a6a1b,doc_university_of_the_philippines_75922ee881,University of the Philippines,"The University of the Philippines (UP; Filipino: ""Unibersidad ng Pilipinas"" or ""Pamantasan ng Pilipinas"") is a state university system in the Philippines.","Rewrite this fact into a natural semantic question: The University of the Philippines (UP; Filipino: ""Unibersidad ng Pilipinas"" or ""Pamantasan ng Pilipinas"") is a state university system in the Philippines.",,todo,
sf_cand_0020,5a74b24455429974ef308c34,doc_promises_promises_musical_5a96b2fe8c,"Promises, Promises (musical)", Musical numbers for the original Broadway production were choreographed by Michael Bennett.,Rewrite this fact into a natural semantic question:  Musical numbers for the original Broadway production were choreographed by Michael Bennett.,,todo,
sf_cand_0021,5ae12d6155429901ffe4adcf,doc_cheick_kongo_1b1d8a983d,Cheick Kongo," He holds notable wins over the likes of Mirko Cro Cop, Lavar Johnson, Shawn Jordan, Matt Mitrione, Alexander Volkov and Pat Barry.","Rewrite this fact into a natural semantic question:  He holds notable wins over the likes of Mirko Cro Cop, Lavar Johnson, Shawn Jordan, Matt Mitrione, Alexander Volkov and Pat Barry.",,todo,
sf_cand_0022,5a7e6f825542991319bc94b2,doc_eva_braun_03eb78b743,Eva Braun,"Eva Anna Paula Hitler (""née"" Braun; 6 February 1912 – 30 April 1945) was the longtime companion of Adolf Hitler and, for fewer than 40 hours, his wife.","Rewrite this fact into a natural semantic question: Eva Anna Paula Hitler (""née"" Braun; 6 February 1912 – 30 April 1945) was the longtime companion of Adolf Hitler and, for fewer than 40 hours, his wife.",,todo,
sf_cand_0023,5add6e9c5542995b365fab2d,doc_2005_knvb_cup_final_fafc8df69f,2005 KNVB Cup Final,"The 2005 KNVB Cup Final was a football match between Willem II and PSV on 29 May 2005 at De Kuip, Rotterdam.","Rewrite this fact into a natural semantic question: The 2005 KNVB Cup Final was a football match between Willem II and PSV on 29 May 2005 at De Kuip, Rotterdam.",,todo,
sf_cand_0024,5adf68505542995ec70e8ff2,doc_der_messias_56541f8129,Der Messias,"Der Messias, K. 572, is Wolfgang Amadeus Mozart's 1789 German-language version of ""Messiah"", George Frideric Handel's 1741 oratorio.","Rewrite this fact into a natural semantic question: Der Messias, K. 572, is Wolfgang Amadeus Mozart's 1789 German-language version of ""Messiah"", George Frideric Handel's 1741 oratorio.",,todo,
sf_cand_0025,5ab3495755429969a97a812e,doc_miguel_ngel_nadal_b95f7aa47a,Miguel Ángel Nadal," Nicknamed ""The Beast"", he based his game in a tremendous physical display, also being adaptable to various defender and midfielder positions.","Rewrite this fact into a natural semantic question:  Nicknamed ""The Beast"", he based his game in a tremendous physical display, also being adaptable to various defender and midfielder positions.",,todo,
sf_cand_0026,5ac1a1e45542991316484b6e,doc_caba_eros_national_park_df1530647c,Cabañeros National Park,"Cabañeros National Park (in Spanish: ""Parque Nacional de Cabañeros"") is a national park in the Montes de Toledo, Spain.","Rewrite this fact into a natural semantic question: Cabañeros National Park (in Spanish: ""Parque Nacional de Cabañeros"") is a national park in the Montes de Toledo, Spain.",,todo,
sf_cand_0027,5ae14cd555429920d52343bd,doc_a_bittersweet_life_568d3cd7ef,A Bittersweet Life," ""The Sweet Life"") is a 2005 South Korean gangster action drama film written and directed by Kim Jee-woon and starring Lee Byung-hun.","Rewrite this fact into a natural semantic question:  ""The Sweet Life"") is a 2005 South Korean gangster action drama film written and directed by Kim Jee-woon and starring Lee Byung-hun.",,todo,
sf_cand_0028,5a7943c0554299029c4b5f43,doc_why_kings_and_queens_don_t_wear_crowns_e3b5b1234a,Why Kings and Queens Don't Wear Crowns,Why Kings and Queens Don't Wear Crowns is a fairytale written by Princess Märtha Louise of Norway and released as a children's book in the US in 2005.,Rewrite this fact into a natural semantic question: Why Kings and Queens Don't Wear Crowns is a fairytale written by Princess Märtha Louise of Norway and released as a children's book in the US in 2005.,,todo,
sf_cand_0029,5a717a865542994082a3e84f,doc_twenty_one_1991_film_404a436ea8,Twenty-One (1991 film),Twenty-One is a British-American drama film directed by Don Boyd and co-scripted by him with Zoë Heller.,Rewrite this fact into a natural semantic question: Twenty-One is a British-American drama film directed by Don Boyd and co-scripted by him with Zoë Heller.,,todo,
sf_cand_0030,5ac4e13c55429919431739ed,doc_mahatma_gandhi_6365cc2174,Mahatma Gandhi," Employing nonviolent civil disobedience, Gandhi led India to independence and inspired movements for civil rights and freedom across the world.","Rewrite this fact into a natural semantic question:  Employing nonviolent civil disobedience, Gandhi led India to independence and inspired movements for civil rights and freedom across the world.",,todo,
sf_cand_0031,5a774a065542994aec3b7271,doc_harlem_georgia_4c6434d6ae,"Harlem, Georgia", Harlem is the birthplace of comedian Oliver Hardy; the annual Harlem Oliver Hardy Festival is held on the first Saturday each October on Main Street in his honor.,Rewrite this fact into a natural semantic question:  Harlem is the birthplace of comedian Oliver Hardy; the annual Harlem Oliver Hardy Festival is held on the first Saturday each October on Main Street in his honor.,,todo,
sf_cand_0032,5a88f4a955429938390d4000,doc_lara_croft_tomb_raider_the_cradle_of_life_49274f56ac,Lara Croft Tomb Raider: The Cradle of Life,"Lara Croft: Tomb Raider – The Cradle of Life is a 2003 action adventure film based on the ""Tomb Raider"" video game series.","Rewrite this fact into a natural semantic question: Lara Croft: Tomb Raider – The Cradle of Life is a 2003 action adventure film based on the ""Tomb Raider"" video game series.",,todo,
sf_cand_0033,5ac440295542997ea680ca4d,doc_supernoobs_4304f33a0e,Supernoobs," ""Supernoobs"" was created by Scott Fellows, who also created ""Johnny Test"", ""Ned's Declassified School Survival Guide"", ""Big Time Rush"", and ""100 Things to Do Before High School"".","Rewrite this fact into a natural semantic question:  ""Supernoobs"" was created by Scott Fellows, who also created ""Johnny Test"", ""Ned's Declassified School Survival Guide"", ""Big Time Rush"", and ""100 Things to Do Before High School"".",,todo,
sf_cand_0034,5a714b135542994082a3e786,doc_up_with_the_white_and_gold_29819a99f2,Up with the White and Gold," The song's title refers to Georgia Tech's school colors and its lyrics contain the phrase, ""Down with the Red and Black"", an explicit reference to the school colors of the University of Georgia and the then-budding Georgia–Georgia Tech rivalry.","Rewrite this fact into a natural semantic question:  The song's title refers to Georgia Tech's school colors and its lyrics contain the phrase, ""Down with the Red and Black"", an explicit reference to the school colors of the University of Georgia and the then-budding Georgia–Georgia Tech rivalry.",,todo,
sf_cand_0035,5ae0fdf15542997b2ef7d0d1,doc_pinocchio_s_daring_journey_37af01d8c6,Pinocchio's Daring Journey,Pinocchio's Daring Journey is a dark ride at Disneyland in California; Tokyo Disneyland; and the Disneyland Park in Paris.,Rewrite this fact into a natural semantic question: Pinocchio's Daring Journey is a dark ride at Disneyland in California; Tokyo Disneyland; and the Disneyland Park in Paris.,,todo,
sf_cand_0036,5a8fc1ca55429918e830d2cb,doc_ernest_schmidt_58be14bec9,Ernest Schmidt,"Ernest J. Schmidt (February 12, 1911 – September 6, 1986) was an American college basketball player born in Nashville, Kansas.","Rewrite this fact into a natural semantic question: Ernest J. Schmidt (February 12, 1911 – September 6, 1986) was an American college basketball player born in Nashville, Kansas.",,todo,
sf_cand_0037,5ab2a57a554299706120967e,doc_corrective_movement_syria_c1073f35e5,Corrective Movement (Syria),"The Corrective Movement (الحركة التصحيحية), also referred to as the Corrective Revolution, was a political movement in Syria, initiated by a coup d'état, led by General Hafez al-Assad on 13 November 1970.","Rewrite this fact into a natural semantic question: The Corrective Movement (الحركة التصحيحية), also referred to as the Corrective Revolution, was a political movement in Syria, initiated by a coup d'état, led by General Hafez al-Assad on 13 November 1970.",,todo,
sf_cand_0038,5a8369715542996488c2e440,doc_eddie_guerrero_55d5fef85b,Eddie Guerrero,"Eduardo Gory Guerrero (October 9, 1967 – November 13, 2005) was an American professional wrestler and a member of the Guerrero wrestling family.","Rewrite this fact into a natural semantic question: Eduardo Gory Guerrero (October 9, 1967 – November 13, 2005) was an American professional wrestler and a member of the Guerrero wrestling family.",,todo,
sf_cand_0039,5ab1ea0a554299340b525429,doc_joseph_ray_watkins_a6b11943d4,Joseph Ray Watkins, He offered the United States's first money back guarantee for his products and is credited as the founder of the direct sales industry.,Rewrite this fact into a natural semantic question:  He offered the United States's first money back guarantee for his products and is credited as the founder of the direct sales industry.,,todo,
sf_cand_0040,5a907f3e55429933b8a2052c,doc_emily_peachey_0c3d40a18d,Emily Peachey,"Emily Peachey is an American film actress, known for her roles in the films ""Abduction"" (2011), ""He's Just Not That Into You"" (2009), and ""Step Up"" (2006).","Rewrite this fact into a natural semantic question: Emily Peachey is an American film actress, known for her roles in the films ""Abduction"" (2011), ""He's Just Not That Into You"" (2009), and ""Step Up"" (2006).",,todo,
sf_cand_0041,5a8f6f025542997ba9cb325b,doc_tcf_bank_stadium_769e236ce2,TCF Bank Stadium,"TCF Bank Stadium is an outdoor stadium located on the campus of the University of Minnesota in Minneapolis, Minnesota, United States.","Rewrite this fact into a natural semantic question: TCF Bank Stadium is an outdoor stadium located on the campus of the University of Minnesota in Minneapolis, Minnesota, United States.",,todo,
sf_cand_0042,5a892d22554299669944a4e7,doc_terry_kath_cf25a35250,Terry Kath,"Terry Alan Kath (January 31, 1946 – January 23, 1978) was an American musician and songwriter, best known as the original guitarist, one of the lead singers and founding members of the rock band Chicago.","Rewrite this fact into a natural semantic question: Terry Alan Kath (January 31, 1946 – January 23, 1978) was an American musician and songwriter, best known as the original guitarist, one of the lead singers and founding members of the rock band Chicago.",,todo,
sf_cand_0043,5a8f8228554299458435d662,doc_judicial_crisis_network_8997533544,Judicial Crisis Network,The Judicial Crisis Network (JCN) (founded in 2005 as the Judicial Confirmation Network) is an American conservative political campaign organization based in the United States.,Rewrite this fact into a natural semantic question: The Judicial Crisis Network (JCN) (founded in 2005 as the Judicial Confirmation Network) is an American conservative political campaign organization based in the United States.,,todo,
sf_cand_0044,5ae3bc175542992e3233c466,doc_loki_comics_0e3b8484f3,Loki (comics),Loki is a fictional character appearing in American comic books published by Marvel Comics.,Rewrite this fact into a natural semantic question: Loki is a fictional character appearing in American comic books published by Marvel Comics.,,todo,
sf_cand_0045,5ab30b8e55429976abd1bc38,doc_damien_starkey_1eabf7b831,Damien Starkey," As a producer he has written for and produced many notable artists including platinum selling bands Saliva, Daughtry and Avril Lavigne.","Rewrite this fact into a natural semantic question:  As a producer he has written for and produced many notable artists including platinum selling bands Saliva, Daughtry and Avril Lavigne.",,todo,
sf_cand_0046,5ae7802c5542997ec272766f,doc_the_taming_of_the_shrew_e207d2f917,The Taming of the Shrew,"The Taming of the Shrew is a comedy by William Shakespeare, believed to have been written between 1590 and 1592.","Rewrite this fact into a natural semantic question: The Taming of the Shrew is a comedy by William Shakespeare, believed to have been written between 1590 and 1592.",,todo,
sf_cand_0047,5a794f1b55429970f5fffe94,doc_kristina_mladenovic_8f3df0ae56,Kristina Mladenovic,"Kristina ""Kiki"" Mladenovic (Serbian: Кристина Младеновић, ""Kristina Mladenović"", ] ; born 14 May 1993) is a French professional tennis player.","Rewrite this fact into a natural semantic question: Kristina ""Kiki"" Mladenovic (Serbian: Кристина Младеновић, ""Kristina Mladenović"", ] ; born 14 May 1993) is a French professional tennis player.",,todo,
sf_cand_0048,5a8e738a5542995085b3742f,doc_ivan_boesky_0cfa2e62cc,Ivan Boesky,"Ivan Frederick Boesky (born March 6, 1937) is a former American stock trader who is notable for his prominent role in an insider trading scandal that occurred in the United States during the mid-1980s.","Rewrite this fact into a natural semantic question: Ivan Frederick Boesky (born March 6, 1937) is a former American stock trader who is notable for his prominent role in an insider trading scandal that occurred in the United States during the mid-1980s.",,todo,
sf_cand_0049,5a89e9f9554299669944a60d,doc_rick_bennett_d927a61168,Rick Bennett, He is currently the head coach of the Union Dutchmen ice hockey team at Union College where he is under contract to coach through the 2022-23 season.,Rewrite this fact into a natural semantic question:  He is currently the head coach of the Union Dutchmen ice hockey team at Union College where he is under contract to coach through the 2022-23 season.,,todo,
sf_cand_0050,5a8eef305542990e94052bc5,doc_lown_ganong_levine_syndrome_47a7f777a0,Lown–Ganong–Levine syndrome,Lown–Ganong–Levine syndrome (LGL) is a pre-excitation syndrome of the heart due to abnormal electrical communication between the atria and the ventricles.,Rewrite this fact into a natural semantic question: Lown–Ganong–Levine syndrome (LGL) is a pre-excitation syndrome of the heart due to abnormal electrical communication between the atria and the ventricles.,,todo,
sf_cand_0051,5a83335d55429954d2e2ec59,doc_crocs_river_8445db32f1,Crocs River,"The Crocs River (French: Rivière des Crocs) is a tributary of the Saint John River (Bay of Fundy), in Quebec and New Brunswick, in Canada.","Rewrite this fact into a natural semantic question: The Crocs River (French: Rivière des Crocs) is a tributary of the Saint John River (Bay of Fundy), in Quebec and New Brunswick, in Canada.",,todo,
sf_cand_0052,5ae61a315542996de7b71b5c,doc_beidha_archaeological_site_e311bb301b,Beidha (archaeological site),"Beidha (Arabic: البيضا‎ ‎ ""al-baīḍā"", ""the white one""), also sometimes Bayda, is a major Neolithic archaeological site a few kilometres north of Petra near Siq al-Barid in Jordan.","Rewrite this fact into a natural semantic question: Beidha (Arabic: البيضا‎ ‎ ""al-baīḍā"", ""the white one""), also sometimes Bayda, is a major Neolithic archaeological site a few kilometres north of Petra near Siq al-Barid in Jordan.",,todo,
sf_cand_0053,5a8b3c8d55429971feec4685,doc_ber_goober_794935edfb,Über Goober," The film has screened at theatres, film festivals, and gaming conventions, winning the award for ""Best Film"" at Gen Con Indianapolis, 2004.","Rewrite this fact into a natural semantic question:  The film has screened at theatres, film festivals, and gaming conventions, winning the award for ""Best Film"" at Gen Con Indianapolis, 2004.",,todo,
sf_cand_0054,5ade271f5542992fa25da6f6,doc_central_michigan_university_aac0972f08,Central Michigan University,Central Michigan University (CMU) is a public research university located in Mount Pleasant in the U.S. state of Michigan.,Rewrite this fact into a natural semantic question: Central Michigan University (CMU) is a public research university located in Mount Pleasant in the U.S. state of Michigan.,,todo,
sf_cand_0055,5ae7ee335542994a481bbe39,doc_main_tera_boyfriend_5da726cd0f,Main Tera Boyfriend,"""Main Tera Boyfriend"" is a dance song recorded by Meet Bros, Arijit Singh, and Neha Kakkar.","Rewrite this fact into a natural semantic question: ""Main Tera Boyfriend"" is a dance song recorded by Meet Bros, Arijit Singh, and Neha Kakkar.",,todo,
sf_cand_0056,5ae71a0f5542995703ce8bd3,doc_comic_relief_special_c8785050e4,Comic Relief special,"The ""Comic Relief special"" was an edition of the BBC sit-com, ""Only Fools and Horses"", recorded as part of the 1997 Comic Relief appeal.","Rewrite this fact into a natural semantic question: The ""Comic Relief special"" was an edition of the BBC sit-com, ""Only Fools and Horses"", recorded as part of the 1997 Comic Relief appeal.",,todo,
sf_cand_0057,5ab3dec5554299753aec59da,doc_niels_peter_louis_hansen_ccc3ce4167,Niels Peter Louis-Hansen,"Niels Peter Louis-Hansen (born 1944) is a Danish billionaire businessman, deputy chairman and owner of one-fifth of the medical device company Coloplast.","Rewrite this fact into a natural semantic question: Niels Peter Louis-Hansen (born 1944) is a Danish billionaire businessman, deputy chairman and owner of one-fifth of the medical device company Coloplast.",,todo,
sf_cand_0058,5ac47611554299204fd21f59,doc_order_of_distinction_ottoman_empire_61e465605e,Order of Distinction (Ottoman Empire),"The Order of Distinction or Order of Honour (Turkish: ""Nişan-i Imtiyaz"" ) was an order of the Ottoman Empire founded by Sultan Abdul Hamid I.","Rewrite this fact into a natural semantic question: The Order of Distinction or Order of Honour (Turkish: ""Nişan-i Imtiyaz"" ) was an order of the Ottoman Empire founded by Sultan Abdul Hamid I.",,todo,
sf_cand_0059,5ac328c7554299657fa290eb,doc_chester_mystery_plays_b2af9e7625,Chester Mystery Plays,The Chester Mystery Plays is a cycle of mystery plays dating back to at least the early part of the 15th century.,Rewrite this fact into a natural semantic question: The Chester Mystery Plays is a cycle of mystery plays dating back to at least the early part of the 15th century.,,todo,
sf_cand_0060,5ab54d395542997d4ad1f0ee,doc_kraft_foods_inc_0daa747dcf,Kraft Foods Inc," 12 of its brands annually earned more than $1 billion worldwide: Cadbury, Jacobs, Kraft, LU, Maxwell House, Milka, Nabisco, Oreo, Oscar Mayer, Philadelphia, Trident, Tang.","Rewrite this fact into a natural semantic question:  12 of its brands annually earned more than $1 billion worldwide: Cadbury, Jacobs, Kraft, LU, Maxwell House, Milka, Nabisco, Oreo, Oscar Mayer, Philadelphia, Trident, Tang.",,todo,
sf_cand_0061,5a74ddb65542996c70cfae22,doc_history_loudon_wainwright_iii_album_c1e42af1c0,History (Loudon Wainwright III album),"History is the twelfth studio album by American singer-songwriter Loudon Wainwright III, released on September 21, 1992 on Charisma Records.","Rewrite this fact into a natural semantic question: History is the twelfth studio album by American singer-songwriter Loudon Wainwright III, released on September 21, 1992 on Charisma Records.",,todo,
sf_cand_0062,5a74cc3755429929fddd84ec,doc_diego_alcazar_6b42cd919e,Diego Alcazar, Ignacio Serricchio originated the role of Diego in October 2004 and portrayed him until the character's supposed death in November 2006.,Rewrite this fact into a natural semantic question:  Ignacio Serricchio originated the role of Diego in October 2004 and portrayed him until the character's supposed death in November 2006.,,todo,
sf_cand_0063,5ac51dc45542994611c8b3b2,doc_drunken_master_57c884bbec,Drunken Master," The film was a success at the Hong Kong box office, earning two and a half times the amount of Chan's previous film, ""Snake in the Eagle's Shadow"", which was also considered a successful film.","Rewrite this fact into a natural semantic question:  The film was a success at the Hong Kong box office, earning two and a half times the amount of Chan's previous film, ""Snake in the Eagle's Shadow"", which was also considered a successful film.",,todo,
sf_cand_0064,5ab2cb52554299545a2cfa84,doc_ogallala_aquifer_7c17bb87ca,Ogallala Aquifer,"The Ogallala Aquifer is a shallow water table aquifer surrounded by sand, silt, clay and gravel located beneath the Great Plains in the United States.","Rewrite this fact into a natural semantic question: The Ogallala Aquifer is a shallow water table aquifer surrounded by sand, silt, clay and gravel located beneath the Great Plains in the United States.",,todo,
sf_cand_0065,5abef8825542990832d3a110,doc_rms_olympic_5233f77b29,RMS Olympic,"RMS ""Olympic"" ( ) was a British transatlantic ocean liner, the lead ship of the White Star Line's trio of ""Olympic""-class liners.","Rewrite this fact into a natural semantic question: RMS ""Olympic"" ( ) was a British transatlantic ocean liner, the lead ship of the White Star Line's trio of ""Olympic""-class liners.",,todo,
sf_cand_0066,5a846f555542992ef85e23f8,doc_seattle_university_e8c0d75e1a,Seattle University,"Seattle University (SU) is a Jesuit Catholic university in the northwestern United States, located in the First Hill neighborhood of Seattle, Washington.","Rewrite this fact into a natural semantic question: Seattle University (SU) is a Jesuit Catholic university in the northwestern United States, located in the First Hill neighborhood of Seattle, Washington.",,todo,
sf_cand_0067,5ac2a33a554299657fa28ff9,doc_jovita_id_r_591689140d,Jovita Idár,"Jovita Idár (September 7, 1885 – June 15, 1946) was an American journalist, political activist and civil rights worker, born in Laredo, Texas in 1885.","Rewrite this fact into a natural semantic question: Jovita Idár (September 7, 1885 – June 15, 1946) was an American journalist, political activist and civil rights worker, born in Laredo, Texas in 1885.",,todo,
sf_cand_0068,5abd40585542993062266c3e,doc_north_ridge_accra_37f478daa3,"North Ridge, Accra"," The Kanda highway serves as the district's western boundary, while the Independence Avenue/Liberation Avenue is the eastern boundary.","Rewrite this fact into a natural semantic question:  The Kanda highway serves as the district's western boundary, while the Independence Avenue/Liberation Avenue is the eastern boundary.",,todo,
sf_cand_0069,5ae5c86355429929b080798c,doc_babe_film_ab8a65a38c,Babe (film),"Babe is a 1995 Australian-American comedy-drama film directed by Chris Noonan, produced by George Miller, and written by both.","Rewrite this fact into a natural semantic question: Babe is a 1995 Australian-American comedy-drama film directed by Chris Noonan, produced by George Miller, and written by both.",,todo,
sf_cand_0070,5ab72c6655429928e1fe382e,doc_cave_in_e5f360c0e7,Cave In,"Cave In is an American rock band that formed in 1995, in Methuen, Massachusetts.","Rewrite this fact into a natural semantic question: Cave In is an American rock band that formed in 1995, in Methuen, Massachusetts.",,todo,
sf_cand_0071,5a751ef55542993748c897c0,doc_jean_pierre_haigner_a09e893b9e,Jean-Pierre Haigneré,Jean-Pierre Haigneré (born 19 May 1948) is a French Air Force officer and a former CNES spationaut.,Rewrite this fact into a natural semantic question: Jean-Pierre Haigneré (born 19 May 1948) is a French Air Force officer and a former CNES spationaut.,,todo,
sf_cand_0072,5a845b555542996488c2e521,doc_george_d_weber_a838ea0b8c,George D. Weber," He was the unsuccessful Democratic nominee to represent the 2nd congressional district in 2004 and 2006, losing to incumbent Todd Akin both times.","Rewrite this fact into a natural semantic question:  He was the unsuccessful Democratic nominee to represent the 2nd congressional district in 2004 and 2006, losing to incumbent Todd Akin both times.",,todo,
sf_cand_0073,5a88baa9554299206df2b350,doc_after_the_love_has_gone_881cb1fadb,After the Love Has Gone,"""After the Love Has Gone"" is a 1979 hit single for Earth, Wind & Fire, written by David Foster, Jay Graydon, and Bill Champlin for the album ""I Am"".","Rewrite this fact into a natural semantic question: ""After the Love Has Gone"" is a 1979 hit single for Earth, Wind & Fire, written by David Foster, Jay Graydon, and Bill Champlin for the album ""I Am"".",,todo,
sf_cand_0074,5ac3bdee5542993915413939,doc_emil_molin_c90e957ced,Emil Molin, He was selected by the Dallas Stars in the 4th round (105th overall) of the 2011 NHL Entry Draft.,Rewrite this fact into a natural semantic question:  He was selected by the Dallas Stars in the 4th round (105th overall) of the 2011 NHL Entry Draft.,,todo,
