question_id,source_hotpot_id,subtype,gold_doc_id,gold_title,gold_sentence,anchor_value,current_question,final_question,status,notes,llm_verdict,llm_attempts,deterministic_issues,verifier_reason,generator_model,verifier_model
ex_title_cand_0013,5ac26f735542992f1f2b38c7,title_anchor,doc_heaven_s_a_lie_fd39e3e35d,Heaven's a Lie," In an interview with HighWireDaze.com, leading vocalist Cristina Scabbia explained the meaning of the song; the word ""heaven"" is a metaphor for a ""perfect life"".",Heaven's a Lie,"In the ""Heaven's a Lie"" document, what evidence helps answer: What is the nationality of the leading vocalist who explained the meaning of ""Heaven's a Lie"" in an interview with HighWireDaze.com?","In the ""Heaven's a Lie"" document, what is the name of the leading vocalist who explained the meaning of the song in an interview with HighWireDaze.com?",accepted,,accept,1,,The question is answerable from the gold sentence and matches the subtype.,Qwen/Qwen3-235B-A22B-Instruct-2507,meta-llama/Llama-3.3-70B-Instruct-Turbo
ex_title_cand_0014,5a8034d9554299485f59858b,title_anchor,doc_nada_surf_b39c500d30,Nada Surf,"Nada Surf is an American alternative rock band which currently consists of Matthew Caws (guitar, vocals), Ira Elliot (drums), Doug Gillard (guitar) and Daniel Lorca (bass, backing vocals).",Nada Surf,"In the ""Nada Surf"" document, what evidence helps answer: Which rock group has more members, State Radio or Nada Surf?","In the ""Nada Surf"" document, what is the full lineup of band members currently in Nada Surf?",accepted,,accept,1,,The question is answerable from the gold sentence and matches the subtype.,Qwen/Qwen3-235B-A22B-Instruct-2507,meta-llama/Llama-3.3-70B-Instruct-Turbo
ex_title_cand_0015,5a847a8a5542992ef85e2412,title_anchor,doc_killer_pad_b6020a4c8a,Killer Pad,"Killer Pad is a 2008 comedy/horror film directed by Robert Englund and starring Daniel Franzese, Eric Jungmann and Shane McRae.",Killer Pad,"In the ""Killer Pad"" document, what evidence helps answer: Killer Pad is a 2008 comedy/horror film directed by Robert Englund, best known for playing the infamous serial killer Freddy Krueger in what film series?","In the ""Killer Pad"" document, what is the name of the 2008 comedy/horror film directed by Robert Englund and starring Daniel Franzese, Eric Jungmann, and Shane McRae?",accepted,,accept,1,,The question directly references the title and is answerable from the gold sentence.,Qwen/Qwen3-235B-A22B-Instruct-2507,meta-llama/Llama-3.3-70B-Instruct-Turbo
ex_title_cand_0016,5ae3fed25542991a06ce9a46,title_anchor,doc_bahria_university_a8d71e774a,Bahria University,"Bahria University (Urdu: ‎ ) or BU, is a public research university primarily located in Islamabad, Pakistan.",Bahria University,"In the ""Bahria University"" document, what evidence helps answer: Which University, Bahria University and TU Wien, has multiple campuses and kept it's original name?","In the ""Bahria University"" document, what is the location of Bahria University?",accepted,,accept,1,,The question is answerable from the gold sentence and matches the subtype.,Qwen/Qwen3-235B-A22B-Instruct-2507,meta-llama/Llama-3.3-70B-Instruct-Turbo
ex_title_cand_0017,5a78acf05542990784727729,title_anchor,doc_sahil_vaid_22fd85d979,Sahil Vaid,"Sahil Vaid is an Indian actor popularly known for movies like Bittoo Boss, Humpty Sharma Ki Dulhania and Badrinath Ki Dulhania",Sahil Vaid,"In the ""Sahil Vaid"" document, what evidence helps answer: Sahil Vaid appeared in a movie franchise that began with which movie?","In the ""Sahil Vaid"" document, what was the first movie in the franchise that Sahil Vaid appeared in?",accepted,,accept,1,,The question is answerable from the gold sentence and matches the subtype.,Qwen/Qwen3-235B-A22B-Instruct-2507,meta-llama/Llama-3.3-70B-Instruct-Turbo
ex_title_cand_0018,5ab25256554299449642c875,title_anchor,doc_hani_singer_cf39ea6911,Hani (singer),"Ahn Hee-yeon (Hangul: 안희연; born May 1, 1992), better known by her stage name Hani, is a South Korean singer and television personality.",Hani (singer),"In the ""Hani (singer)"" document, what evidence helps answer: What South Korean television show did both Ahn Hee-yeon and rapper Defconn host?","In the ""Hani (singer)"" document, what is the stage name of Ahn Hee-yeon?",accepted,,accept,1,,The question is answerable from the gold sentence and matches the subtype.,Qwen/Qwen3-235B-A22B-Instruct-2507,meta-llama/Llama-3.3-70B-Instruct-Turbo
ex_title_cand_0019,5ac02565554299012d1db5bc,title_anchor,doc_concord_naval_weapons_station_1210c9d9cd,Concord Naval Weapons Station,"Concord Naval Weapons Station was a military base established in 1942 north of the city of Concord, California at the shore of the Sacramento River where it widens into Suisun Bay.",Concord Naval Weapons Station,"In the ""Concord Naval Weapons Station"" document, what evidence helps answer: In which year was this military base established that functioned as a World War II armament storage depot and is located near Seal Islands?","In the ""Concord Naval Weapons游戏副本 Station"" document, what year was the military base established?",accepted,,accept,1,,The question is answerable from the gold sentence and matches the subtype.,Qwen/Qwen3-235B-A22B-Instruct-2507,meta-llama/Llama-3.3-70B-Instruct-Turbo
ex_title_cand_0020,5adcea1f5542992c1e3a24ad,title_anchor,doc_value_alliance_3a6b9bf8e3,Value Alliance,Value Alliance is an airline alliance formed in May 2016.,Value Alliance,"In the ""Value Alliance"" document, what evidence helps answer: Jeju Air is a founding member of the air alliance formed in what month?","In the ""Value Alliance"" document, what month was the airline alliance formed?",accepted,,accept,1,,The question is answerable from the gold sentence and matches the subtype.,Qwen/Qwen3-235B-A22B-Instruct-2507,meta-llama/Llama-3.3-70B-Instruct-Turbo
ex_title_cand_0021,5ab9257b554299753720f749,title_anchor,doc_ultimate_boeing_747_gambit_c9b7becb43,Ultimate Boeing 747 gambit," It was introduced by Richard Dawkins in chapter 4 of his 2006 book ""The God Delusion"", ""Why there almost certainly is no God"".",Ultimate Boeing 747 gambit,"In the ""Ultimate Boeing 747 gambit"" document, what evidence helps answer: Who introduced the Ultimate Boeing 747 gambit in response to the idea that there must be a god if there appears to be a deliberate design in the natural world?","In the ""Ultimate Boeing 747 gambit"" document, who introduced the Ultimate Boeing 747 gambit in chapter 4 of the 2006 book ""The God Delusion""?",accepted,,accept,1,,The question is answerable from the gold sentence and matches the subtype.,Qwen/Qwen3-235B-A22B-Instruct-2507,meta-llama/Llama-3.3-70B-Instruct-Turbo
ex_title_cand_0022,5a83876c5542992ef85e22de,title_anchor,doc_fruit_bowl_862c8f6355,Fruit Bowl,"The Fruit Bowl was a post-season college football bowl game held in December at Kezar Stadium in San Francisco, California.",Fruit Bowl,"In the ""Fruit Bowl"" document, what evidence helps answer: The Fruit Bowl was a post-season college football bowl game held in December at Kezar Stadium, an outdoor athletics stadium in San Francisco, California, located adjacent to Kezar Pavilion in the southeastern corner of which location?","In the ""Fruit Bowl"" document, what location was Kezar Stadium, the venue for the post-season college football bowl game, situated in?",accepted,,accept,1,,The question is answerable from the gold sentence and matches the subtype.,Qwen/Qwen3-235B-A22B-Instruct-2507,meta-llama/Llama-3.3-70B-Instruct-Turbo
ex_title_cand_0023,5a73a23455429905862fe07c,title_anchor,doc_great_smoky_mountains_national_park_893d964b14,Great Smoky Mountains National Park,The park was chartered by the United States Congress in 1934 and officially dedicated by President Franklin Delano Roosevelt in 1940.,Great Smoky Mountains National Park,"In the ""Great Smoky Mountains National Park"" document, what evidence helps answer: In which national park that was chartered in 1934 are Agnorisma bolli found?","In the ""Great Smoky Mountains National Park"" document, what year was the park chartered by the United States Congress?",accepted,,accept,1,,The question is answerable from the gold sentence and matches the subtype.,Qwen/Qwen3-235B-A22B-Instruct-2507,meta-llama/Llama-3.3-70B-Instruct-Turbo
ex_title_cand_0024,5ade2a075542997c77aded8c,title_anchor,doc_american_civil_war_277efc4989,American Civil War," The result of a long-standing controversy over slavery, war broke out in April 1861, when Confederates attacked Fort Sumter in South Carolina, shortly after Abraham Lincoln was inaugurated.",American Civil War,"In the ""American Civil War"" document, what evidence helps answer: Sergeant James B. Bell received what honor for his actions in the war that broke out April 1861","In the ""American Civil War"" document, what event marked the start of the war in April 1861?",accepted,,accept,1,,The question is answerable from the gold sentence and matches the subtype.,Qwen/Qwen3-235B-A22B-Instruct-2507,meta-llama/Llama-3.3-70B-Instruct-Turbo
ex_title_cand_0025,5ae72ba35542991e8301cb83,title_anchor,doc_morphett_vale_south_australia_0e09b47b49,"Morphett Vale, South Australia"," It is the largest suburb in the state, with a population of more than 23,000 and an area of 12.76 km², followed by Paralowie with nearly 10,000 fewer residents.","Morphett Vale, South Australia","In the ""Morphett Vale, South Australia"" document, what evidence helps answer: The suburb east of Christie Downs has what land area?","In the ""Morphett Vale, South Australia"" document, what is the land area of the suburb?",accepted,,accept,1,,The question is answerable from the gold sentence and matches the subtype.,Qwen/Qwen3-235B-A22B-Instruct-2507,meta-llama/Llama-3.3-70B-Instruct-Turbo
ex_title_cand_0026,5a8362ee5542992ef85e22a4,title_anchor,doc_john_stewart_kennedy_d51ed57955,John Stewart Kennedy," He was a member of the Jekyll Island Club (also known as The Millionaires' Club) on Jekyll Island, Georgia along with J.P. Morgan and William Rockefeller among others.",John Stewart Kennedy,"In the ""John Stewart Kennedy"" document, what evidence helps answer: John Stewart Kennedy was a member of the Jekyll Island Club alongside what Standard Oil co-founder?","In the ""John Stewart Kennedy"" document, who was a member of the Jekyll Island Club alongside John Stewart Kennedy and is also associated with Standard Oil?",accepted,,accept,2,,The question is answerable from the gold sentence and matches the subtype.,Qwen/Qwen3-235B-A22B-Instruct-2507,meta-llama/Llama-3.3-70B-Instruct-Turbo
ex_title_cand_0027,5a78c57e55429970f5fffd7a,title_anchor,doc_alfred_santell_447a6b9c8e,Alfred Santell,"Alfred Allen Santell also known as Al Santell (born September 14, 1895 in San Francisco, California) was an American film director and film producer.",Alfred Santell,"In the ""Alfred Santell"" document, what evidence helps answer: Which film maker was born first, Alfred Santell or Aleksei Balabanov.","In the ""Alfred Santell"" document, what is the birth date of Alfred Santell?",accepted,,accept,1,,valid,Qwen/Qwen3-235B-A22B-Instruct-2507,meta-llama/Llama-3.3-70B-Instruct-Turbo
ex_title_cand_0028,5a8b6b5455429950cd6afceb,title_anchor,doc_nikka_whisky_distilling_71ace65785,Nikka Whisky Distilling,"The Nikka Whisky Distilling Co. Ltd. (ニッカウヰスキー株式会社 , Nikka Uwisukii Kabushiki Gaisha ) is a producer of Japanese whisky and other beverages headquartered in Tokyo.",Nikka Whisky Distilling,"In the ""Nikka Whisky Distilling"" document, what evidence helps answer: Where is the producer of  a style of whisky developed and produced in Japan upon the opening of the country's first distillery, Yamazaki, headquartered at ?","In the ""Nikka Whisky Distilling"" document, what is the headquarters location of the producer of Japanese whisky?",accepted,,accept,1,,The question is answerable from the gold sentence and matches the subtype.,Qwen/Qwen3-235B-A22B-Instruct-2507,meta-llama/Llama-3.3-70B-Instruct-Turbo
ex_title_cand_0029,5ae159565542990adbacf762,title_anchor,doc_padmanav_bordoloi_1569eb406d,Padmanav Bordoloi,Padmanav is the second male singer from Assam to be nominated for this coveted title after Angaraag Papon Mahanta.,Padmanav Bordoloi,"In the ""Padmanav Bordoloi"" document, what evidence helps answer: Padmanav Bordoloi and Papon are both from what state of India?","In the ""Padmanav Bordoloi"" document, what Indian state are both Padmanav Bordoloi and Papon from?",accepted,,accept,1,,The question is answerable from the gold sentence and matches the subtype.,Qwen/Qwen3-235B-A22B-Instruct-2507,meta-llama/Llama-3.3-70B-Instruct-Turbo
ex_title_cand_0030,5ac30c85554299218029dbcb,title_anchor,doc_herschell_gordon_lewis_494f941196,Herschell Gordon Lewis,"Herschell Gordon Lewis (June 15, 1926 – September 26, 2016) was an American filmmaker, best known for creating the ""splatter"" subgenre of horror films.",Herschell Gordon Lewis,"In the ""Herschell Gordon Lewis"" document, what evidence helps answer: Whose film career included works in a range of exploitation film genres including juvenile delinquent films, nudie-cuties, two children's films and at least one rural comedy, Herschell Gordon Lewis' and Miguel Contreras Torres'?","In the ""Herschell Gordon Lewis"" document, what was Herschell Gordon Lewis best known for creating?",accepted,,accept,1,,The question is answerable from the gold sentence and matches the subtype.,Qwen/Qwen3-235B-A22B-Instruct-2507,meta-llama/Llama-3.3-70B-Instruct-Turbo
ex_date_cand_0001,5ac38516554299741d48a273,date_number_lookup,doc_chicago_film_critics_association_awards_2016_e2f8922253,Chicago Film Critics Association Awards 2016,"The 29th Chicago Film Critics Association Awards were announced on December 15, 2016.",15,"Which document mentions ""15"" in the evidence needed to answer: The most nominations at the Chicago Film Critics Association Awards in 2016 went to a coming-of-age drama film that was based on a play by Tarell Alvin McCraney, and was written and directed by who?","Which document mentions December 15, 2016 as the date when the 29th Chicago Film Critics Association Awards were announced?",accepted,,accept,1,,The question is answerable from the gold sentence and matches the subtype.,Qwen/Qwen3-235B-A22B-Instruct-2507,meta-llama/Llama-3.3-70B-Instruct-Turbo
ex_date_cand_0002,5ae12d10554299422ee9961c,date_number_lookup,doc_cas_walker_511c532b9a,Cas Walker,"Orton Caswell ""Cas"" Walker (March 23, 1902 – September 25, 1998), was a Tennessee businessman, politician, and personality on television and radio.",1902,"Which document mentions ""1902"" in the evidence needed to answer: Which person born on March 23, 1902 did George Roby Dempster have political battles with?","Which document mentions a person born on March 23, 1902 who had political battles with George Roby Dempster?",accepted,,accept,1,,The question is answerable from the gold sentence and matches the subtype.,Qwen/Qwen3-235B-A22B-Instruct-2507,meta-llama/Llama-3.3-70B-Instruct-Turbo
ex_date_cand_0003,5a74576755429979e2882911,date_number_lookup,doc_the_lass_of_richmond_hill_eef4afd8ec,The Lass of Richmond Hill,"""The Lass of Richmond Hill"", also known as ""The Sweet Lass of Richmond Hill"", is a song written by Leonard McNally with music composed by James Hook, and was first publicly performed in 1789.",1789,"Which document mentions ""1789"" in the evidence needed to answer: What song written by Leonard McNally with music composed by James Hook was the favorite song of the King of the United Kingdom of Great Britain and Ireland?","Which document mentions ""1789"" and describes a song written by Leonard McNally with music by James Hook?",accepted,,accept,1,,The question directly references the anchor value and describes the song accurately.,Qwen/Qwen3-235B-A22B-Instruct-2507,meta-llama/Llama-3.3-70B-Instruct-Turbo
ex_date_cand_0004,5a8a11a35542992e4fca84ee,date_number_lookup,doc_timothy_edward_howard_99231da97f,Timothy Edward Howard," Howard also was president of the Northern Indiana Historical Society, and in 1907, he wrote a history of St. Joseph County.",1907,"Which document mentions ""1907"" in the evidence needed to answer: What county does Howard Park Historic District and Timothy Edward Howard have in common?","Which document mentions ""1907"" and a history of St. Joseph County?",accepted,,accept,1,,The question is answerable from the gold sentence and matches the subtype.,Qwen/Qwen3-235B-A22B-Instruct-2507,meta-llama/Llama-3.3-70B-Instruct-Turbo
ex_date_cand_0005,5ae322655542994393b9e61f,date_number_lookup,doc_the_godfather_novel_fc28ebea3b,The Godfather (novel)," Originally published in 1969 by G. P. Putnam's Sons, the novel details the story of a fictional Mafia family based in New York City (and Long Beach, New York), headed by Vito Corleone.",1969,"Which document mentions ""1969"" in the evidence needed to answer: Tom Hagen is a character in the crime novel published in what year?",Which document mentions a crime novel published in 1969 featuring the character Tom Hagen?,accepted,,accept,1,,The gold sentence contains the required information.,Qwen/Qwen3-235B-A22B-Instruct-2507,meta-llama/Llama-3.3-70B-Instruct-Turbo
ex_date_cand_0006,5ab98e00554299753720f830,date_number_lookup,doc_from_hell_film_b81bd094f5,From Hell (film),"From Hell is a 2001 American mystery horror film directed by the Hughes brothers and loosely based on the graphic novel ""From Hell"" by Alan Moore and Eddie Campbell about the Jack the Ripper murders.",2001,"Which document mentions ""2001"" in the evidence needed to answer: Terence Harvey appeared in which 2001 American mystery horror film directed by the Hughes brothers?",Which document mentions the 2001 American mystery horror film directed by the Hughes brothers?,accepted,,accept,1,,The question is answerable from the gold sentence and matches the subtype.,Qwen/Qwen3-235B-A22B-Instruct-2507,meta-llama/Llama-3.3-70B-Instruct-Turbo
ex_date_cand_0007,5a7b21a1554299042af8f6f9,date_number_lookup,doc_jason_hervey_20d8239ecb,Jason Hervey,"Jason Robert Hervey (born April 6, 1972) is an American actor, television producer and former public relations agent.",1972,"Which document mentions ""1972"" in the evidence needed to answer: What co-founder of MX Digital starred on The Wonder Years","Which document mentions ""April 6, 1972"" in the record of the co-founder of MX Digital who starred on The Wonder Years?",accepted,,accept,1,,The question is answerable from the gold sentence and matches the subtype.,Qwen/Qwen3-235B-A22B-Instruct-2507,meta-llama/Llama-3.3-70B-Instruct-Turbo
ex_date_cand_0008,5ab65def55429954757d3260,date_number_lookup,doc_tara_reid_bdde13a1af,Tara Reid," She is known for playing Vicky in the films ""American Pie"" (1999), ""American Pie 2"" (2001) and ""American Reunion"" (2012), and Bunny Lebowski in ""The Big Lebowski"" (1998).",1998,"Which document mentions ""1998"" in the evidence needed to answer: What is the nickname of the Jeff Bridge's character that shares a surname with actress Tara Reid's character in the same film?",Which document mentions 1998 and the nickname of Jeff Bridges's character who shares a surname with Tara Reid's character in the same film?,needs_review,Deterministic checks failed: non_title_lookup_leaks_gold_title,repair,3,non_title_lookup_leaks_gold_title,Deterministic checks failed: non_title_lookup_leaks_gold_title,Qwen/Qwen3-235B-A22B-Instruct-2507,meta-llama/Llama-3.3-70B-Instruct-Turbo
ex_date_cand_0009,5aded1a85542993344016ba3,date_number_lookup,doc_lamium_2689cf6952,Lamium,"Lamium (dead-nettles) is a genus of about 40–50 species of flowering plants in the family Lamiaceae, of which it is the type genus.",40,"Which document mentions ""40"" in the evidence needed to answer: Which has more species Lamium or Colletia?",Which document mentions 40 species for a genus in the family Lamiaceae?,accepted,,accept,2,,The question is answerable from the gold sentence and matches the subtype.,Qwen/Qwen3-235B-A22B-Instruct-2507,meta-llama/Llama-3.3-70B-Instruct-Turbo
ex_date_cand_0010,5a7a58675542990783324f1f,date_number_lookup,doc_elizabeth_kekaaniau_e4ff7b5363,Elizabeth Kekaaniau,"Elizabeth Kekaʻaniau Laʻanui Pratt, full name Elizabeth Kekaikuihala Kekaʻaniauokalani Kalaninuiohilaukapu Laʻanui Pratt (12 September 1834 – 20 December 1928) was a great grandniece of Kamehameha I, being a great granddaughter of Kalokuokamaile, the older brother of Kamehameha I, founder of the Kingdom of Hawaii.",12,"Which document mentions ""12"" in the evidence needed to answer: Franklin Seaver Pratt (November 1, 1829 – January 11, 1894), also known as Franklyn or Frank S. Pratt, was an American settler, businessman, public servant and diplomat of the Kingdom of Hawaii, he married who, that was a great grandniece of Kamehameha I, being a great granddaughter of Kalokuokamaile, the older brother of Kamehameha I, founder of the Kingdom of Hawaii?","Which document mentions ""12 September 1834"" and describes a great grandniece of Kamehameha I who was a great granddaughter of Kalokuokamaile, the older brother of Kamehameha I, founder of the Kingdom of Hawaii?",accepted,,accept,1,,The question is answerable from the gold sentence and matches the subtype.,Qwen/Qwen3-235B-A22B-Instruct-2507,meta-llama/Llama-3.3-70B-Instruct-Turbo
ex_date_cand_0011,5a78e760554299029c4b5ed4,date_number_lookup,doc_nadine_gordimer_8c64d2fc2a,Nadine Gordimer,"Nadine Gordimer (20 November 1923 – 13 July 2014) was a South African writer, political activist and recipient of the 1991 Nobel Prize in Literature.",13,"Which document mentions ""13"" in the evidence needed to answer: Who was a South African writer, political activist and recipient of the 1991 Nobel Prize in Literature, Nadine Gordimer or Betty Friedan?","Which document contains the record of the South African writer, political activist and recipient of the 1991 Nobel Prize in Literature who died on 13 July 2014?",accepted,,accept,1,,The question is answerable from the gold sentence and matches the subtype.,Qwen/Qwen3-235B-A22B-Instruct-2507,meta-llama/Llama-3.3-70B-Instruct-Turbo
ex_date_cand_0012,5ac3a5fe554299391541387f,date_number_lookup,doc_billy_eichner_6f189afe28,Billy Eichner,"Billy Eichner (born September 18, 1978) is an American comedian, actor, writer, and television personality.",18,"Which document mentions ""18"" in the evidence needed to answer: Difficult People co-stars the comedian and actor of what nationality?","Which document mentions September 18, 1978 and contains information about the nationality of the comedian and actor who co-starred in Difficult People?",accepted,,accept,1,,The question is answerable from the gold sentence and matches the subtype.,Qwen/Qwen3-235B-A22B-Instruct-2507,meta-llama/Llama-3.3-70B-Instruct-Turbo
