question_id,source_hotpot_id,question,answer,gold_doc_ids,gold_titles,gold_sentences,status,notes
mh_cand_0011,5ab50a2b55429942dd415fe0,The History of Eric Clapton features him performing with what English rock band that was formed in London in 1963?,The Yardbirds,doc_the_history_of_eric_clapton_301c644a1b|doc_the_yardbirds_d4d65e0a39,The History of Eric Clapton|The Yardbirds," It features Eric Clapton performing in various bands between 1964 and 1970, including The Yardbirds, Cream, Blind Faith and Derek and the Dominos. || The Yardbirds are an English rock band, formed in London in 1963.",todo,
mh_cand_0012,5a74aba455429916b01641bb,"Which was born/created first, Atom Egoyan or Chloe?",Atom Egoyan,doc_atom_egoyan_62813735dc|doc_chloe_film_9b9de95637,Atom Egoyan|Chloe (film),"Atom Egoyan, {'1': "", '2': "", '3': "", '4': ""} (born July 19, 1960) is a Canadian stage and film director, writer and producer. || Chloe is a 2009 erotic thriller film directed by Atom Egoyan, a remake of the 2003 French film ""Nathalie..."".",todo,
mh_cand_0013,5ab757ce5542993667793fc2,"In which city is the southern terminus of this north–south United States highway located, which Kentucky Route 1632 connects KY 9 with?",Miami,doc_kentucky_route_1632_23ba6d186e|doc_u_s_route_27_f5aba03bff,Kentucky Route 1632|U.S. Route 27," It connects KY 9 in Wilder with US 27 in Southgate, Kentucky, just south of the border with Fort Thomas, near Exit 2 of I-471. || U.S. Route 27 (US 27) is a north–south United States highway in the southern and midwestern United States. ||  The southern terminus is at US 1 in Miami, Florida. ||  From Miami it goes up the center of Florida, then west to Tallahassee, Florida, and north through such cities and towns as Columbus, Georgia; Rome, Georgia; Chattanooga, Tennessee; Lexington, Kentucky; Cincinnati, Ohio; Oxford, Ohio; Richmond, Indiana; and Fort Wayne, Indiana.",todo,
mh_cand_0014,5a8f91415542997ba9cb32cc,Marina Zueva was the coach for which Canadian World Champion ice dancer?,Tessa Jane McCormick Virtue,doc_marina_zueva_2079ca33fd|doc_tessa_virtue_77f5ad2a86,Marina Zueva|Tessa Virtue," She is the former coach of the 2010 Olympic champions and three-time (2010, 2012, 2017) World champions in ice dancing, Tessa Virtue / Scott Moir, as well as the 2014 Olympic champions and two-time (2011, 2013) World champions in ice dancing Meryl Davis / Charlie White and the 2014 ice dance World Champions Anna Cappellini / Luca Lanotte. || Tessa Jane McCormick Virtue (born May 17, 1989) is a Canadian ice dancer.",todo,
mh_cand_0015,5a80b2b1554299485f5986c5,"The South Korean actress and model whose real name is Kim Soo-hyun, starred in an MBC show in 2016 that replaced which show?",Glamorous Temptation,doc_claudia_kim_2eb262810f|doc_monster_2016_tv_series_c0ee2eb78c,Claudia Kim|Monster (2016 TV series)," It replaced ""Glamorous Temptation"" and airs on MBC on Mondays and Tuesdays at 09:55pm (KST) from March 28 to September 20, 2016 for 50 episodes. || Kim Soo-hyun (born January 25, 1985), also known as Claudia Kim, is a South Korean actress and model.",todo,
mh_cand_0016,5ade0b575542995b365fabe6,"James Mangold, is an American film and television director, screenwriter and producer, films he has directed include Logan, an American epic neo-western superhero drama film, released in which year, and  produced by Marvel Entertainment?",2017,doc_james_mangold_d0fd7694a9|doc_logan_film_0a29b47d99,James Mangold|Logan (film)," Films he has directed include ""Walk the Line"", which he also co-wrote; ""The Wolverine""; ""Logan""; ""Cop Land""; ""Girl, Interrupted""; ""Knight and Day""; and the 2007 remake """". || Logan is a 2017 American epic neo-western superhero drama film produced by Marvel Entertainment, TSG Entertainment, and The Donners' Company, and distributed by 20th Century Fox.",todo,
mh_cand_0017,5a79dd13554299029c4b5f79,"The Crystal Palace Football Club Player of the Year is awarded at the end of each season, some players have won the award for a second time, the most recent being which  professional footballer who plays as a winger for Premier League club Crystal Palace, and the Ivory Coast national team?",Dazet Wilfried Armel Zaha,doc_crystal_palace_f_c_player_of_the_year_d6a6a64fa6|doc_wilfried_zaha_524d6bf628,Crystal Palace F.C. Player of the Year|Wilfried Zaha," Nine of these players have won the award for a second time, the most recent being Wilfried Zaha. || Dazet Wilfried Armel Zaha (born 10 November 1992) is a professional footballer who plays as a winger for Premier League club Crystal Palace and the Ivory Coast national team.",todo,
mh_cand_0018,5ade0cc35542990dbb2f7f36,Hafþór Júlíus Björnsson plays an HBO character who first appears in book form in what year?,1996,doc_gregor_clegane_231a2ea674|doc_haf_r_j_l_us_bj_rnsson_1dfdd19b17,Gregor Clegane|Hafþór Júlíus Björnsson," He plays Ser Gregor ""The Mountain"" Clegane in the HBO series ""Game of Thrones"". ||  In the books, the character is initially introduced in 1996's ""A Game of Thrones"".",todo,
mh_cand_0019,5ae813435542994a481bbeab,"The 1962 United States Senate election in New York was held on which date, incumbent Republican U.S. Senator Jacob Javits won against Democratic challenger James B. Donovan?","November 6, 1962",doc_james_b_donovan_0692cc19b9|doc_united_states_senate_election_in_new_york_1962_20577689ee,"James B. Donovan|United States Senate election in New York, 1962","The 1962 United States Senate election in New York was held on November 6, 1962. || James Britt Donovan (February 29, 1916 – January 19, 1970) was an American lawyer, United States Navy officer in the Office of Scientific Research and Development and the Office of Strategic Services, ultimately becoming General Counsel of the OSS (the predecessor of the CIA), and international diplomatic negotiator.",todo,
mh_cand_0020,5ae7eb635542994a481bbe23,Racism without Racists was published by the house founded in what year?,1949,doc_racism_without_racists_5becef9be7|doc_rowman_amp_littlefield_34ac74b325,Racism without Racists|Rowman &amp; Littlefield," It was originally published by Rowman & Littlefield in 2003, and has since been re-published four times, most recently in June 2017. || Rowman & Littlefield Publishing Group is an independent publishing house founded in 1949.",todo,
mh_cand_0021,5ab1f5d65542993be8fa9896,Which horrer television series aired on AMC on oct 18 2015 directed by the author of the secret diary of laura palmer?,"""The Walking Dead""",doc_jennifer_lynch_0486ba4058|doc_jss_the_walking_dead_b723f39b46,JSS (The Walking Dead)|Jennifer Lynch,"""JSS"" is the second episode of the sixth season and 69th episode overall of the post-apocalyptic horror television series ""The Walking Dead"", which aired on AMC on October 18, 2015. ||  The episode was written by Seth Hoffman and directed by Jennifer Lynch. ||  She is also known as the author of the book ""The Secret Diary of Laura Palmer"".",todo,
mh_cand_0022,5a7da2e55542990b8f5039dd,"What was the population in 2011 of the city that St Mary's Church, Lower Ince is in?","97,000",doc_st_mary_s_church_lower_ince_1a454a5d0f|doc_wigan_026155ab85,"St Mary's Church, Lower Ince|Wigan","St Mary's Church is in Warrington Road, Lower Ince, Ince-in-Makerfield, Wigan, Greater Manchester, England. ||  The town had a population of 97,000 in 2011, whilst the wider borough had a population of 318,100.",todo,
mh_cand_0023,5a87e43255429938390d3e9d,"Which character does Kristen Schaal play in the American animated sitcom ""Bob's Burgers""?",Louise Belcher,doc_bob_s_burgers_season_1_2886b13165|doc_kristen_schaal_f698c7bf42,Bob's Burgers (season 1)|Kristen Schaal," The show features the voices of H. Jon Benjamin, Dan Mintz, Eugene Mirman, John Roberts and Kristen Schaal in their roles of the Belcher family. ||  She is known for her roles of Mel on the HBO series ""Flight of the Conchords"", The Heart, She Holler as over-sexed Hurshe, Louise Belcher on FOX animated comedy ""Bob's Burgers"", and Mabel Pines on ""Gravity Falls"".",todo,
mh_cand_0024,5a77a99a5542995d8318125a,What is the name of the Austro-Hungarian general and historian from the province straddling the southern border of the Habsburg Monarchy?,Emil Vojnović von Belobreska,doc_emil_vojnovi_b6376bd08f|doc_military_frontier_664c3d164c,Emil Vojnović|Military Frontier,Emil Vojnović von Belobreska (also Emil Woinovich; 23 April 1851 – 13 February 1927) was an Austro-Hungarian Army general and historian from the Military Frontier who until 1915 was the director of the War Archives in Vienna. || The Military Frontier was a province straddling the southern borderland of the Habsburg Monarchy and later the Austrian and Austro-Hungarian Empire.,todo,
mh_cand_0025,5ab976225542996be2020507,"Who died at the oldest age, Ellen Heaton or John Ruskin?",Ellen Heaton,doc_ellen_heaton_e913ef85a1|doc_john_ruskin_d662510219,Ellen Heaton|John Ruskin,"Ellen Heaton (1816–1894) was a philanthropist and art collector in Leeds, best known for her patronage of and friendships with members and associates of the Pre-Raphaelite Brotherhood and the influential art critic John Ruskin. || John Ruskin (8 February 1819 – 20 January 1900) was the leading English art critic of the Victorian era, as well as an art patron, draughtsman, watercolourist, a prominent social thinker and philanthropist.",todo,
mh_cand_0026,5a87a0b45542996e4f30888b,What was the person who had a sidekick who the hosted nationally televised talent competition?,Johnny Carson,doc_ed_mcmahon_6eefc46928|doc_geechy_guy_c51fa0fbdb,Ed McMahon|Geechy Guy," He is probably best known for his appearances on ""Star Search"", the nationally televised talent competition hosted by Ed McMahon. ||  He is most famous for his thirty year run on NBC television as Johnny Carson's sidekick, announcer and second banana on ""The Tonight Show"" from 1962 through 1992 and on Carson's earlier ABC game show ""Who Do You Trust?",todo,
mh_cand_0027,5ae154bb55429901ffe4ae67,"Under which government did this Italian classical composer, conductor, and teacher that became a source of inspiration for ""A Little Nightmare Music"" pursue his career?",the Habsburg Monarchy,doc_a_little_nightmare_music_7cddf8977e|doc_antonio_salieri_475e3246e0,A Little Nightmare Music|Antonio Salieri," The opera is described as being ""based on a dream he had December 4, 1791, the night that Wolfgang Amadeus Mozart died and Antonio Salieri didn't."" || Antonio Salieri (] ; 18 August 17507 May 1825) was an Italian classical composer, conductor, and teacher. ||  He was born in Legnago, south of Verona, in the Republic of Venice, and spent his adult life and career as a subject of the Habsburg Monarchy.",todo,
mh_cand_0028,5a8a67b555429970aeb702cf,What disease was Kyle Broflovski infected with by one of his three friends?,HIV,doc_kyle_broflovski_3f10dd756a|doc_tonsil_trouble_61639412c6,Kyle Broflovski|Tonsil Trouble," In the episode, Cartman contracts HIV during a blood-transfusion. ||  When Kyle laughs at Cartman's misfortune, Cartman intentionally infects Kyle with his disease as well. ||  Kyle is one of the show's four central characters, along with his friends Stan Marsh, Kenny McCormick, and Eric Cartman.",todo,
mh_cand_0029,5abcd2ee5542993a06baf976,When was the Rihanna's single co-written by Takura Tendayi realeased?,"November 13, 2009",doc_takura_a50409d813|doc_wait_your_turn_4bac5bdf45,Takura|Wait Your Turn," shared stage with Ray Cee and also co-wrote Rihanna's 2009 single ""Wait Your Turn"" which alone has over seventeen million YouTube views and charted at number 45 in the UK Singles Chart. ||  ""Wait Your Turn"" was released on November 13, 2009 as the second international and third overall single from ""Rated R"".",todo,
mh_cand_0030,5ae139a955429901ffe4ae0d,Richard Siward resided at the castle just outside what Scottish town?,Arncroach,doc_kellie_castle_f77ea1551e|doc_richard_siward_d_1311_03d3cbc566,Kellie Castle|Richard Siward (d.1311),"Richard Siward (died 1311), Lord of Kellie, was a 13th-14th century Scottish noble. || Kellie Castle is a castle just outside Arncroach, about 5 kilometres north of Pittenweem in the East Neuk of Fife, Scotland.",todo,
mh_cand_0031,5a835dbd5542992ef85e2292,Which star of William Shakespeare's Romeo + Juliet movie was named one of the 100 most influential people in the world by Time magazine in 2012?,Claire Danes,doc_claire_danes_bbe7c4ca0e|doc_romeo_juliet_50d5de24e9,Claire Danes|Romeo + Juliet,"William Shakespeare's Romeo + Juliet (shortened to Romeo + Juliet) is a 1996 American romantic drama film directed, co-produced, and co-written by Baz Luhrmann, co-produced by Gabriella Martinelli, and co-written by Craig Pearce, being an adaptation and modernization of William Shakespeare's tragedy ""Romeo and Juliet"". ||  The film stars Leonardo DiCaprio and Claire Danes in the leading roles of Romeo and Juliet, who instantly fall in love when Romeo crashes a party and meets her, despite their being members of the Montague and Capulet family; Brian Dennehy, John Leguizamo, Pete Postlethwaite, Paul Sorvino, and Diane Venora star in supporting roles. ||  In 2012, ""Time"" named her one of the 100 most influential people in the world, and she was awarded a star on the Hollywood Walk of Fame in 2015.",todo,
mh_cand_0032,5ae73f805542991e8301cc3d,What company published Bop magazine?,The Laufer Company,doc_bop_magazine_9850f6ceb7|doc_tiger_beat_7c48346649,Bop (magazine)|Tiger Beat,"Bop magazine was a monthly American entertainment magazine for kids 10 years of age and teens. ||  It began publication in the summer of 1983 and was published by Laufer Media, which also publishes ""Tiger Beat"" magazine. || Tiger Beat is an American teen fan magazine originally published by The Laufer Company, and marketed primarily to adolescent girls.",todo,
mh_cand_0033,5ac43b035542995c82c4ad01,"Leonard Norman Wein, was an American comic book writer and editor best known for co-creating DC Comics' Swamp Thing and Marvel Comics' Wolverine, and was the editor for writer Alan Moore and illustrator Dave Gibbons' influential DC miniseries ""Watchmen"", Watchmen is an American comic-book limited series published by DC Comics, in which years?",1986 and 1987,doc_len_wein_9ad80ba37d|doc_watchmen_00b3023322,Len Wein|Watchmen," Additionally, he was the editor for writer Alan Moore and illustrator Dave Gibbons' influential DC miniseries ""Watchmen"". || Watchmen is an American comic-book limited series published by DC Comics in 1986 and 1987, and collected in 1987.",todo,
mh_cand_0034,5ae7ed935542993210983fc1,"In what year was the actor who was starred in ""Mogambo"" with Ave Gardner and Grace Kelly born?",1901,doc_clark_gable_c21c8b6ddb|doc_mogambo_39cac44431,Clark Gable|Mogambo,"Mogambo is a 1953 American Technicolor adventure/romantic drama film directed by John Ford and starring Clark Gable, Ava Gardner and Grace Kelly and featuring Donald Sinden. || William Clark Gable (February 1, 1901 – November 16, 1960) was an American film actor and military officer, often referred to as ""The King of Hollywood"" or just simply as ""The King"".",todo,
mh_cand_0035,5a8d8f4e554299441c6b9ffe,Tin Kai-Man was in what 2004 Hong King-Chinese martial arts gangster comedy film that was produced by Chui Po-chu and Jeffrey Lau?,Kung Fu Hustle,doc_kung_fu_hustle_84ff13269c|doc_tin_kai_man_6bdf1ca26f,Kung Fu Hustle|Tin Kai-man," Tin also worked with Chow on the actor and director's highly successful ""Kung Fu Hustle"". || Kung Fu Hustle is a 2004 Hong Kong-Chinese martial arts gangster comedy film, directed, co-produced and co-written by Stephen Chow, who also stars in the lead role. ||  The other producers were Chui Po-chu and Jeffrey Lau, and the screenplay was co-written with Huo Xin, Chan Man-keung, and Tsang Kan-cheung.",todo,
mh_cand_0036,5a7dcf765542990b8f503ac0,"Olivia Newton-John's song Magic was displaced from the top by Sailing, which is by what American singer-songwriter from San Antonio, Texas?",Christopher Cross,doc_christopher_cross_1b85d85051|doc_magic_olivia_newton_john_song_8b25652ed7,Christopher Cross|Magic (Olivia Newton-John song),"""Magic"" is a 1980 song performed by Olivia Newton-John, from the soundtrack to the film ""Xanadu"". ||  On August 30, it was displaced from the top by ""Sailing"" by Christopher Cross. || Christopher Cross (born Christopher Charles Geppert; May 3, 1951) is an American singer-songwriter from San Antonio, Texas.",todo,
mh_cand_0037,5a7cf29c55429909bec768b9,The Mann Center for the Performing Arts presened what American singer-songwriter born in 1972?,Jill Scott,doc_jill_scott_a56b6c606d|doc_mann_center_for_the_performing_arts_7a5d4d4da0,Jill Scott|Mann Center for the Performing Arts,"The Mann Center for the Performing Arts (formerly known as the Mann Music Center) is a nonprofit performing arts center located in the Centennial District of Philadelphia's West Fairmount Park, built in 1976 as the summer home for the Philadelphia Orchestra. ||  Major Philadelphia premieres have included the Israel Philharmonic Orchestra, Bolshoi Ballet and Orchestra’s production of Spartacus, and Britain’s Royal Ballet’s productions of Romeo and Juliet and Swan Lake. || Jill Scott (born April 4, 1972) is an American singer-songwriter, model, poet and actress.",todo,
mh_cand_0038,5adbd9fc5542996e6852525b,"The star of the series ""Gloria"" also did voice acting for which Disney animated series?",TaleSpin,doc_gloria_tv_series_9f71b3a201|doc_sally_struthers_8506e49b8e,Gloria (TV series)|Sally Struthers," The series starred Sally Struthers reprising her role as Gloria Stivic, the daughter of Archie Bunker on ""All in the Family"". ||  She was the voice of Charlene Sinclair on the ABC sitcom ""Dinosaurs"" and Rebecca Cunningham on the Disney animated series ""TaleSpin"".",todo,
mh_cand_0039,5ade0c9d5542995b365fabea,While in exile in Argentina Lorenzo Luzuriaga translated several works by a philosopher that died in what year?,1952,doc_john_dewey_db149c4fca|doc_lorenzo_luzuriaga_a5f4d01ab4,John Dewey|Lorenzo Luzuriaga," While in exile in Argentina following the Spanish Civil War, Luzuriaga translated several works by John Dewey and popularized the figure among progressives. || John Dewey ( ; October 20, 1859 – June 1, 1952) was an American philosopher, psychologist, and educational reformer whose ideas have been influential in education and social reform.",todo,
mh_cand_0040,5abbe0bf554299642a094b99,In what year did the American public-benefit company based in New York help crowd fund a Hidden Path Entertainment tower defense game?,2014,doc_defense_grid_2_7ebc44099c|doc_kickstarter_893e5d1b0f,Defense Grid 2|Kickstarter,"Defense Grid 2 is a 2014 tower defense video game developed by Hidden Path Entertainment and published by 505 Games. ||  As a sequel to the 2008 """", the game was crowd-funded on Kickstarter in 2012, and released on Windows, Xbox One, and PlayStation 4 on September 23, 2014. ||  Linux and OS X versions were released on October 15, 2014. || Kickstarter is an American public-benefit corporation based in Brooklyn, New York, that maintains a global crowdfunding platform focused on creativity.",todo,
mh_cand_0041,5adca8915542994ed6169bbd,Which 2007 action comedy film was Edgar Howard Wright  best known for,Hot Fuzz,doc_edgar_wright_489f211bda|doc_hot_fuzz_7af14ef47d,Edgar Wright|Hot Fuzz," He is best known for his comedic ""Three Flavours Cornetto"" film trilogy—comprising ""Shaun of the Dead"" (2004), ""Hot Fuzz"" (2007), and ""The World's End"" (2013)—made with recurrent collaborators Simon Pegg, Nira Park, and Nick Frost. || Hot Fuzz is a 2007 action comedy film directed by Edgar Wright, written by Wright and Simon Pegg, and starring Pegg and Nick Frost.",todo,
mh_cand_0042,5a8cda33554299585d9e3744,What league ranks higher than the one that Lewis Wing plays in?,Premier League,doc_efl_championship_b1e8712a20|doc_lewis_wing_0c8c37a33b,EFL Championship|Lewis Wing,"Lewis Wing (born 23 June 1995) is an English professional footballer who plays for EFL Championship club Middlesbrough, as an attacking midfielder. || The English Football League Championship (often referred to as the Championship for short or the Sky Bet Championship for sponsorship reasons) is the highest division of the English Football League and second-highest overall in the English football league system, after the Premier League.",todo,
mh_cand_0043,5ae3bc4d5542992e3233c467,"Roger Taylor and Alicia Molik, have which occupation in common?",tennis player,doc_alicia_molik_72a2937bac|doc_roger_taylor_tennis_c81f31a966,Alicia Molik|Roger Taylor (tennis),Roger Taylor MBE (born 14 October 1941) is a British former tennis player. || Alicia Molik (born 27 January 1981) is an Australian former professional tennis player.,todo,
mh_cand_0044,5a77bd195542992a6e59dfa8,Which sprinter won the 80 hurdles at the 1667 Mediterranean games in Tunisia?,Carla Panerai,doc_1967_mediterranean_games_2f99907182|doc_carla_panerai_ef9952a14b,1967 Mediterranean Games|Carla Panerai,"Carla Panerai (born 4 July 1947) is a retired Italian sprinter who won the 80 hurdles at the 1967 Mediterranean Games. || The fifth edition of the Mediterranean Games were held in Tunis, Tunisia from 8 September to 17 September 1967.",todo,
mh_cand_0045,5ab6a77055429953192ad353,What professional ice hockey team in the National Hockey League (NHL) selected Denis Carufel in the tenth round (162nd overall) of the 1974 NHL Amateur Draft?,Kansas City Scouts,doc_denis_carufel_3b03152739|doc_kansas_city_scouts_e1f7ce11fc,Denis Carufel|Kansas City Scouts,"Denis Carufel (born January 23, 1954) is a Canadian former ice hockey defenceman. ||  He was selected by the Kansas City Scouts in the tenth round (162nd overall) of the 1974 NHL Amateur Draft, and was also drafted by the Quebec Nordiques in the seventh round (98th overall) of the 1974 WHA Amateur Draft. || The Kansas City Scouts were a professional ice hockey team in the National Hockey League (NHL) from 1974 to 1976.",todo,
mh_cand_0046,5a73593a55429901807dafd5,"Which author of the series ""My America"", is also the author of the series ""Magic Tree House""?",Mary Pope Osborne,doc_magic_tree_house_90947c3b89|doc_my_america_c48dbfb5c6,Magic Tree House|My America, Each topic has three books and is authored by a different writer. || The Magic Tree House is an American series of children's books written by American author Mary Pope Osborne.,todo,
mh_cand_0047,5ae78a7f5542997ec272769b,The final stretch of the 2015 Chilean telethon was held at a stadium that has an official capacity of how much?,"48,665",doc_2015_chilean_telethon_8fc8b250ea|doc_estadio_nacional_julio_mart_nez_pr_danos_855d5d32b2,2015 Chilean telethon|Estadio Nacional Julio Martínez Prádanos," It was held from the Teatro Teletón from 22:00 on Friday, 27 November until 21:00 on Saturday November 28 and from Julio Martínez National Stadium from 22:00 in its final stretch. ||  It is the largest stadium in Chile with an official capacity of 48,665.",todo,
mh_cand_0048,5a773d5c55429966f1a36cc3,"Which of the members of the trio 3rdeyegirl, stylized as 3RDEYEGIRL, was a drummer and vocalist from Louisville, Kentucky?",Hannah Welton,doc_3rdeyegirl_a92a90483e|doc_hannah_welton_a0e430605b,3rdeyegirl|Hannah Welton,"3rdeyegirl, stylized as 3RDEYEGIRL, is an American band and was Prince's backing band from his 2014 return to Warner Music until his death in 2016. ||  It was a trio consisting of the American drummer Hannah Welton, Canadian guitarist Donna Grantis and Danish bassist Ida Kristine Nielsen. || Hannah Welton-Ford (born June 29, 1990) is an American musician, drummer and vocalist from Louisville, Kentucky.",todo,
mh_cand_0049,5a7f99ac55429969796c1add,Which alcoholic brand named after the man who rebuilt its business did Justin Timberlake sing about in 2015?,Jim Beam,doc_drink_you_away_099fcc3370|doc_jim_beam_7fda221690,Drink You Away|Jim Beam,"""Drink You Away"" is a song recorded by American singer and songwriter Justin Timberlake for his fourth studio album, ""The 20/20 Experience – 2 of 2"" (2013). ||  Lyrically, on the track, Timberlake compares love to alcoholism while making references to several alcoholic brands including Jack Daniel's and Jim Beam. || Jim Beam is a brand of bourbon whiskey produced in Clermont, Kentucky, by Beam Suntory, a subsidiary of Suntory Holdings of Osaka, Japan. ||  Since 1795 (interrupted by Prohibition), seven generations of the Beam family have been involved in whiskey production for the company that produces the brand, which was given the name ""Jim Beam"" in 1933 in honor of James B. Beam, who rebuilt the business after Prohibition ended.",todo,
