method,method_role,question_id,task_type,question,gold_count,matched_gold_count,gold_titles,missed_gold_titles,retrieved_titles_top5,mrr_at_5,latency_ms
dense,formal_baseline,mh_0014,multi_hop_relation,Which horrer television series aired on AMC on oct 18 2015 directed by the author of the secret diary of laura palmer?,2,1,Jennifer Lynch | JSS (The Walking Dead),JSS (The Walking Dead),The Secret Diary of Laura Palmer | Jennifer Lynch | Donna Hayward | Pilot (Twin Peaks) | List of Runaways story arcs,0.5,166.3826599975427
dense,formal_baseline,mh_0015,multi_hop_relation,"What was the population in 2011 of the city that St Mary's Church, Lower Ince is in?",2,1,"St Mary's Church, Lower Ince | Wigan",Wigan,"St Mary's Church, Lower Ince | St Mary's Church, Clophill | Church of St Mary Axe | St Mary Magdalene Church, Holloway Road | Christ Church, Ince-in-Makerfield",1.0,166.35975999732813
dense,formal_baseline,mh_0017,multi_hop_relation,What is the name of the Austro-Hungarian general and historian from the province straddling the southern border of the Habsburg Monarchy?,2,1,Emil Vojnović | Military Frontier,Emil Vojnović,Austria-Hungary | Habsburg Monarchy | Karl von Habsburg | Varaždin Generalate | Military Frontier,0.2,166.4387600084146
dense,formal_baseline,mh_0019,multi_hop_relation,What disease was Kyle Broflovski infected with by one of his three friends?,2,1,Kyle Broflovski | Tonsil Trouble,Tonsil Trouble,Kyle Broflovski | Marek's disease | Ho–Kaufman–Mcalister syndrome | Jeffrey R. MacDonald | Fort Night,1.0,166.36546000440916
dense,formal_baseline,mh_0020,multi_hop_relation,When was the Rihanna's single co-written by Takura Tendayi realeased?,2,1,Takura | Wait Your Turn,Wait Your Turn,Takura | Believe (Kalafina song) | Love Bebop | Krista K | Muse (Jolin Tsai album),1.0,166.3526599963506
dense,formal_baseline,mh_0022,multi_hop_relation,What company published Bop magazine?,2,1,Bop (magazine) | Tiger Beat,Tiger Beat,Bop (magazine) | Hugo Montgomery-Swan | Major Publications | The Horizon: A Journal of the Color Line | Cary Audio Design,1.0,167.61905999084314
dense,formal_baseline,mh_0023,multi_hop_relation,"In what year was the actor who was starred in ""Mogambo"" with Ave Gardner and Grace Kelly born?",2,1,Clark Gable | Mogambo,Clark Gable,Grace Kelly filmography | Grace Kelly (1983 film) | Mogambo | Grace Kelly (musician) | John B. Kelly Sr.,0.3333333333333333,166.34276000758013
dense,formal_baseline,mh_0024,multi_hop_relation,"Olivia Newton-John's song Magic was displaced from the top by Sailing, which is by what American singer-songwriter from San Antonio, Texas?",2,1,Christopher Cross | Magic (Olivia Newton-John song),Christopher Cross,Magic (Olivia Newton-John song) | Magic: The Very Best of Olivia Newton-John | Gold (Olivia Newton-John album) | Physical (album) | Olivia Newton-John's Greatest Hits,1.0,166.32646001478037
dense,formal_baseline,mh_0025,multi_hop_relation,The Mann Center for the Performing Arts presened what American singer-songwriter born in 1972?,2,1,Jill Scott | Mann Center for the Performing Arts,Jill Scott,Mann Center for the Performing Arts | Chris Gehringer | Rouvaun | Christopher Cross | Krista Detor,1.0,166.32975999613603
dense,formal_baseline,mh_0027,multi_hop_relation,While in exile in Argentina Lorenzo Luzuriaga translated several works by a philosopher that died in what year?,2,1,John Dewey | Lorenzo Luzuriaga,John Dewey,Lorenzo Luzuriaga | Antonio Braga | Gabriela Soto Laveaga | Miguel Contreras Torres | Abu al-Salt,1.0,166.35505999227365
dense,formal_baseline,mh_0032,multi_hop_relation,What professional ice hockey team in the National Hockey League (NHL) selected Denis Carufel in the tenth round (162nd overall) of the 1974 NHL Amateur Draft?,2,1,Denis Carufel | Kansas City Scouts,Kansas City Scouts,Denis Carufel | Paul Houck | Dave Lumley | Rick Fraser (ice hockey) | Dave Syvret,1.0,166.3632599969705
dense,formal_baseline,mh_0033,multi_hop_relation,The final stretch of the 2015 Chilean telethon was held at a stadium that has an official capacity of how much?,2,1,2015 Chilean telethon | Estadio Nacional Julio Martínez Prádanos,Estadio Nacional Julio Martínez Prádanos,2016 Chilean telethon | 2010 Chilean telethon | 2011 Chilean telethon | 2015 Chilean telethon | 2002 Chilean telethon,0.25,166.38606001039346
dense,formal_baseline,mh_0034,multi_hop_relation,"Which of the members of the trio 3rdeyegirl, stylized as 3RDEYEGIRL, was a drummer and vocalist from Louisville, Kentucky?",2,1,3rdeyegirl | Hannah Welton,Hannah Welton,3rdeyegirl | Donna Grantis | That Lady (song) | Plectrumelectrum | Live Out Loud Tour,1.0,167.68236000438532
dense,formal_baseline,mh_0035,multi_hop_relation,Which alcoholic brand named after the man who rebuilt its business did Justin Timberlake sing about in 2015?,2,1,Drink You Away | Jim Beam,Jim Beam,Justin Timberlake: Live from London | List of songs recorded by Justin Timberlake | Drink You Away | Rob Knox (producer-songwriter) | Love Dealer,0.3333333333333333,166.37606000502905
dense,formal_baseline,mh_0036,multi_hop_relation,Thomas Seller Wallace was shot in the chest by one of the fugitives in the incident on the outskirts of this town located how far west of Calgary?,2,1,"Banff, Alberta | Thomas Seller Wallace","Banff, Alberta",Thomas Seller Wallace | Murder of Serena McKay | Murder of Krista Harrison | Whitecourt crater | 1973–74 Capital Bullets season,1.0,169.28636000653108
dense,formal_baseline,mh_0037,multi_hop_relation,"Who was the first editor of the magazine in which ""The Gingerbread Man"" was published?",2,1,St. Nicholas Magazine | The Ginger Bread Boy,St. Nicholas Magazine,Ed Arno | Gingerbread Man (song) | The Gingerbread Girl | John Dough and the Cherub | The Ginger Bread Boy,0.2,166.33636000355085
dense,formal_baseline,mh_0038,multi_hop_relation,"Who was the director of the 2002 motion picture drama which featured John Hiatt's ""Slow Turning""?",2,1,Slow Turning | The Rookie (2002 film),The Rookie (2002 film),Slow Turning | Drive South | Beneath This Gruff Exterior | Cabin Pressure (film) | Dennis Farina,1.0,167.03896000583967
dense,formal_baseline,mh_0044,multi_hop_relation,"What actress appeared on ""The Sing-Off"" before her role in the film directed and co-produced by Elizabeth Banks?",2,0,Kelley Jakle | Pitch Perfect 2,Kelley Jakle | Pitch Perfect 2,Surrender Dorothy (film) | Dora De Winton | Diana Lewis | Betty Grable filmography | Cate Blanchett,0.0,166.39166001578172
dense,formal_baseline,mh_0045,multi_hop_relation,"What is the author of the upcoming 2017 epic fantasy novel, ""Oathbringer"", best known for?",2,1,Brandon Sanderson | Oathbringer,Brandon Sanderson,Oathbringer | The Stormlight Archive | Words of Radiance | Trollslayer | Nelson DeMille,1.0,166.32455999751886
dense,formal_baseline,mh_0046,multi_hop_relation,Who directed the 2015 film in which Alia Shawkat plays Gertie Michaels?,2,1,Alia Shawkat | The Final Girls,The Final Girls,Alia Shawkat | Arsinée Khanjian | The Moment (2013 film) | Kajraare | Adam Green's Aladdin,1.0,166.85236000617346
dense,formal_baseline,mh_0048,multi_hop_relation,"The Blink-182 song ""Ghost on the Dance Floor"" was speculated to be inspired by the death of a DJ that died in what year?",2,1,DJ AM | Ghost on the Dance Floor,DJ AM,Ghost on the Dance Floor | Illuminated dance floor | Music of Life | Pepper's ghost | Get on the Dance Floor,1.0,166.2644599934419
dense,formal_baseline,mh_0052,multi_hop_relation,Which cast member of Exit 57 also appears on BoJack Horseman ?,2,1,Amy Sedaris | Exit 57,Amy Sedaris,List of BoJack Horseman episodes | List of BoJack Horseman characters | BoJack Horseman | Raphael Bob-Waksberg | Exit 57,0.2,166.76936000188192
dense,formal_baseline,mh_0054,multi_hop_relation,40 Pounds of Trouble is a retelling of the story by the newspaperman of what nationality?,2,1,40 Pounds of Trouble | Damon Runyon,Damon Runyon,40 Pounds of Trouble | Fettered by Fate | Michael J. McCann | The Bookman (London) | Peter May (writer),1.0,168.71615999539694
dense,formal_baseline,mh_0058,multi_hop_relation,"The first major project for the Roller Coaster Corporation of America was renamed, and is now called what?",2,1,Iron Rattler | Roller Coaster Corporation of America,Iron Rattler,Roller Coaster Corporation of America | Millennium Force | Leap-The-Dips | Lakemont Park | Apocalypse (Six Flags America),1.0,166.2920599838098
dense,formal_baseline,mh_0059,multi_hop_relation,Where did Kent Patterson play his home games until he became a free agent?,2,1,Kent Patterson | Wichita Thunder,Wichita Thunder,Kent Patterson | Ruben Patterson | George E. Cooper | Hartford Colonials | Shelton Jones,1.0,166.4439599921306
dense,formal_baseline,ex_date_0002,exact_file_lookup,"Which document mentions a person born on March 23, 1902 who had political battles with George Roby Dempster?",1,0,Cas Walker,Cas Walker,George Roby Dempster | George Bowlby | Charles James Mathew | Martha Roby | James E. Engle,0.0,166.29876000781854
dense,formal_baseline,ex_date_0004,exact_file_lookup,"Which document mentions ""1907"" and a history of St. Joseph County?",1,0,Timothy Edward Howard,Timothy Edward Howard,"St Mary's Church, Clophill | Joseph Sledge | St Mary's Church, Lower Ince | Ridgefield Township, New Jersey | John Fell (judge)",0.0,167.54196001191934
dense,formal_baseline,ex_date_0007,exact_file_lookup,"Which document mentions ""April 6, 1972"" in the record of the co-founder of MX Digital who starred on The Wonder Years?",1,0,Jason Hervey,Jason Hervey,The Wonder Years (band) | The Wonder Years (9th Wonder album) | MX vs. ATV Alive | The Wonder Years: Trilogy | Recorded Live: The 12 Year Old Genius,0.0,166.63935999174913
dense,formal_baseline,ex_date_0011,exact_file_lookup,"Which document mentions September 18, 1978 and contains information about the nationality of the comedian and actor who co-starred in Difficult People?",1,0,Billy Eichner,Billy Eichner,Difficult People | Keaton Nigel Cooke | Cole Escola | David Bradby | Gerhard Reinke's Wanderlust,0.0,166.35075999399027
dense,formal_baseline,ex_date_0014,exact_file_lookup,Which document mentions an actor from a 1962 film who also appeared in The Parent Trap?,1,0,Moon Pilot,Moon Pilot,The Parent Trap (1961 film) | The Parent Trap II | Parent Trap III | The Parent Trap (song) | Carrie Kei Heim,0.0,166.55476000507673
dense,formal_baseline,ex_date_0017,exact_file_lookup,"Which document mentions the rank 23 for the lead single from the album ""Women in Technology"" in the United States?",1,0,White Town,White Town,Woman's Home Companion | Diana Ross discography | Woman's Viewpoint (magazine) | Natalie Merchant (album) | Your Woman,0.0,168.35955999394258
dense,formal_baseline,ex_date_0018,exact_file_lookup,"Which document mentions February 24, 1953 and states that the person is a musician?",1,0,Derek St. Holmes,Derek St. Holmes,Jonathan Berger | Antonio Salieri | Wilhelm Georg Berger | Carl Maria von Weber | Edwin Orion Brownell,0.0,168.86415999730428
dense,formal_baseline,ex_date_0019,exact_file_lookup,"Which document mentions ""1960"" and states that a cinematographer is best known for a 2016 film directed by which director?",1,0,Giles Nuttgens,Giles Nuttgens,Tom Stern (cinematographer) | John Alcott | The Magnificent Seven (2016 film) | Peter schießt den Vogel ab | 69 (novel),0.0,167.64966001709303
dense,formal_baseline,ex_phrase_0008,exact_file_lookup,"Which document contains the exact phrase ""Joseph and Meaghan Oppenheimer"" and describes a 2015 drama film directed by Max Joseph?",1,0,We Are Your Friends (film),We Are Your Friends (film),Herman G. Weinberg | Miffy the Movie | Romeo and Juliet on screen | Cellular (film) | Inside Men (film),0.0,166.6816599925359
dense,formal_baseline,ex_phrase_0012,exact_file_lookup,"Which document contains the exact phrase ""Park Hae-jin and Kang So-ra."" and lists a South Korean actor from the television series starring Lee Jong-suk who also had a leading role in the movie ""Man to Man""?",1,0,Doctor Stranger,Doctor Stranger,Park Hae-jin | Lee Gi-kwang discography | Park Ji-sung | Ahn Nae-sang | Jin Hyuk,0.0,167.1597599943479
file_fts,formal_baseline,sf_0009,semantic_fact,Which filmmaker directed the documentary that received a Best Documentary Academy Award nomination?,1,0,4 Little Girls,4 Little Girls,James Laxton | James Longley (filmmaker) | Iraq in Fragments | Mysterious Castles of Clay | Academy Honorary Award,0.0,4.149900004267693
file_fts,formal_baseline,mh_0001,multi_hop_relation,"Who was the director of an American epic space opera film that starred an actor born March 5, 1989?",2,1,Jake Lloyd | Star Wars: Episode I – The Phantom Menace,Star Wars: Episode I – The Phantom Menace,Jake Lloyd | John Balme | Alvin Drew | Lost in Space (American Dad!) | Chicago Film Critics Association Awards 1989,1.0,6.176999986171722
file_fts,formal_baseline,mh_0004,multi_hop_relation,Whose orchestra accompanied the First Lady of Song and other singers in a 1967 television special?,2,1,A Man and His Music + Ella + Jobim | Ella Fitzgerald,Ella Fitzgerald,A Man and His Music + Ella + Jobim | Some Velvet Morning | That Lady (song) | Classic Diamonds – The DVD | Just Bummin' Around,1.0,5.340700000524521
file_fts,formal_baseline,mh_0005,multi_hop_relation,"What title did the mother of Archduke Charles, Duke of Teschen hold in Tuscany?",2,1,"Archduke Charles, Duke of Teschen | Maria Luisa of Spain",Maria Luisa of Spain,"Archduke Charles, Duke of Teschen | Archduke Charles of Austria (disambiguation) | Battle of Mannheim (1799) | Battle of Neresheim | Duke of Lafões",1.0,3.008000001311302
file_fts,formal_baseline,mh_0006,multi_hop_relation,Zooperstars features a clam dressed as a baseball player born in what year?,2,1,Sammy Sosa | ZOOperstars!,Sammy Sosa,ZOOperstars! | David Jordan Bachner | Travis Hafner | Crystal Palace F.C. Player of the Year | Ron Klimkowski,1.0,3.8626999855041504
file_fts,formal_baseline,mh_0007,multi_hop_relation,The Rieder Automatic Rifle was a model made by the company that created firearms for the forces of what country?,2,1,Lee–Enfield | Rieder Automatic Rifle,Lee–Enfield,Rieder Automatic Rifle | Automatic rifle | Howell Automatic Rifle | Sieg automatic rifle | Chauchat,1.0,3.9146000146865845
file_fts,formal_baseline,mh_0009,multi_hop_relation,Marina Zueva was the coach for which Canadian World Champion ice dancer?,2,1,Marina Zueva | Tessa Virtue,Tessa Virtue,Marina Zueva | Marina Anissina | Marina Klimova | Gwendal Peizerat | Sergei Ponomarenko,1.0,3.500200003385544
file_fts,formal_baseline,mh_0012,multi_hop_relation,Hafþór Júlíus Björnsson plays an HBO character who first appears in book form in what year?,2,1,Gregor Clegane | Hafþór Júlíus Björnsson,Gregor Clegane,Hafþór Júlíus Björnsson | 2013 World's Strongest Man | The Brave Little Tailor | List of Waterloo Road characters (series 8) | On the Movements and Habits of Climbing Plants,1.0,4.716499999165535
file_fts,formal_baseline,mh_0013,multi_hop_relation,Racism without Racists was published by the house founded in what year?,2,1,Racism without Racists | Rowman &amp; Littlefield,Rowman &amp; Littlefield,Racism without Racists | World Conference against Racism | Anne Frank Foundation | Hugo Montgomery-Swan | Arbor House,1.0,3.66839998960495
file_fts,formal_baseline,mh_0015,multi_hop_relation,"What was the population in 2011 of the city that St Mary's Church, Lower Ince is in?",2,1,"St Mary's Church, Lower Ince | Wigan",Wigan,"St Mary's Church, Lower Ince | Christ Church, Ince-in-Makerfield | Church of St Mary Axe | St Mary's Cathedral Church | St Mary's Church, Clophill",1.0,3.7213999927043915
file_fts,formal_baseline,mh_0017,multi_hop_relation,What is the name of the Austro-Hungarian general and historian from the province straddling the southern border of the Habsburg Monarchy?,2,1,Emil Vojnović | Military Frontier,Emil Vojnović,Habsburg Monarchy | Military Frontier | Slavonian Military Frontier | Austria-Hungary | Monarch,0.5,3.089800000190735
file_fts,formal_baseline,mh_0018,multi_hop_relation,What was the person who had a sidekick who the hosted nationally televised talent competition?,2,1,Ed McMahon | Geechy Guy,Ed McMahon,Geechy Guy | Česko Slovensko má talent | Mary-Jess Leaverland | Asian Excellence Awards | Grammatical person,1.0,2.4466999918222427
file_fts,formal_baseline,mh_0019,multi_hop_relation,What disease was Kyle Broflovski infected with by one of his three friends?,2,1,Kyle Broflovski | Tonsil Trouble,Tonsil Trouble,Kyle Broflovski | Stan Marsh | Marek's disease | Leucostoma canker | Eric Cartman,1.0,3.8317999988794327
file_fts,formal_baseline,mh_0023,multi_hop_relation,"In what year was the actor who was starred in ""Mogambo"" with Ave Gardner and Grace Kelly born?",2,1,Clark Gable | Mogambo,Clark Gable,Mogambo | Red Dust (1932 film) | Grace Kelly filmography | Grace Kelly (song) | Grace Kelly (musician),1.0,8.981399983167648
file_fts,formal_baseline,mh_0024,multi_hop_relation,"Olivia Newton-John's song Magic was displaced from the top by Sailing, which is by what American singer-songwriter from San Antonio, Texas?",2,1,Christopher Cross | Magic (Olivia Newton-John song),Christopher Cross,Magic (Olivia Newton-John song) | Magic: The Very Best of Olivia Newton-John | Olivia Newton-John's Greatest Hits | John Farrar | San Antonio Rampage,1.0,5.6914999932050705
file_fts,formal_baseline,mh_0025,multi_hop_relation,The Mann Center for the Performing Arts presened what American singer-songwriter born in 1972?,2,1,Jill Scott | Mann Center for the Performing Arts,Jill Scott,Mann Center for the Performing Arts | Hillman Center for Performing Arts | Peter Smith (oboist) | Cowles Center for Dance and the Performing Arts | Mohammed ben Abdallah (playwright),1.0,4.81870000064373
file_fts,formal_baseline,mh_0027,multi_hop_relation,While in exile in Argentina Lorenzo Luzuriaga translated several works by a philosopher that died in what year?,2,1,John Dewey | Lorenzo Luzuriaga,John Dewey,Lorenzo Luzuriaga | William Stopford Kenny | Mohand Tazerout | Grigor Magistros | Jacques Dars,1.0,4.618100002408028
file_fts,formal_baseline,mh_0028,multi_hop_relation,In what year did the American public-benefit company based in New York help crowd fund a Hidden Path Entertainment tower defense game?,2,1,Defense Grid 2 | Kickstarter,Kickstarter,Hidden Path Entertainment | Defense Grid 2 | Gem Tower Defense | Defense Grid: The Awakening | South Park Let's Go Tower Defense Play!,0.5,5.729399994015694
file_fts,formal_baseline,mh_0029,multi_hop_relation,What league ranks higher than the one that Lewis Wing plays in?,2,1,EFL Championship | Lewis Wing,EFL Championship,Lewis Wing | Lewis Mills (rugby league) | Science and technology in Israel | Dastur | Academic ranks in Argentina,1.0,4.433499991893768
file_fts,formal_baseline,mh_0032,multi_hop_relation,What professional ice hockey team in the National Hockey League (NHL) selected Denis Carufel in the tenth round (162nd overall) of the 1974 NHL Amateur Draft?,2,1,Denis Carufel | Kansas City Scouts,Kansas City Scouts,"Denis Carufel | John Sheridan (ice hockey) | Rick Fraser (ice hockey) | Don McLean (ice hockey, born 1954) | Jerry Badiuk",1.0,7.631799980998039
file_fts,formal_baseline,mh_0033,multi_hop_relation,The final stretch of the 2015 Chilean telethon was held at a stadium that has an official capacity of how much?,2,1,2015 Chilean telethon | Estadio Nacional Julio Martínez Prádanos,Estadio Nacional Julio Martínez Prádanos,2015 Chilean telethon | 2016 Chilean telethon | 2010 Chilean telethon | 1998 Chilean telethon | 2011 Chilean telethon,1.0,4.36089999973774
file_fts,formal_baseline,mh_0035,multi_hop_relation,Which alcoholic brand named after the man who rebuilt its business did Justin Timberlake sing about in 2015?,2,1,Drink You Away | Jim Beam,Jim Beam,List of songs recorded by Justin Timberlake | A. D. Miles | Drink You Away | The Mad Man | Justin Timberlake: Live from London,0.3333333333333333,4.583199977874756
file_fts,formal_baseline,mh_0036,multi_hop_relation,Thomas Seller Wallace was shot in the chest by one of the fugitives in the incident on the outskirts of this town located how far west of Calgary?,2,1,"Banff, Alberta | Thomas Seller Wallace","Banff, Alberta",Thomas Seller Wallace | CKMX | The Pineapple Incident | Division of Bonython | Art Wallace,1.0,4.662000000476837
file_fts,formal_baseline,mh_0038,multi_hop_relation,"Who was the director of the 2002 motion picture drama which featured John Hiatt's ""Slow Turning""?",2,1,Slow Turning | The Rookie (2002 film),The Rookie (2002 film),Slow Turning | The Tiki Bar Is Open | Drive South | Beneath This Gruff Exterior | The Way We Make a Broken Heart,1.0,15.191700011491776
file_fts,formal_baseline,mh_0042,multi_hop_relation,Who directed the 2014 film in which Isobelle Molloy had her film debut?,2,1,Isobelle Molloy | Maleficent (film),Maleficent (film),Isobelle Molloy | Rosewater (film) | Breathe (2014 film) | High Society (2014 film) | Mitch Molloy,1.0,4.388800010085106
file_fts,formal_baseline,mh_0044,multi_hop_relation,"What actress appeared on ""The Sing-Off"" before her role in the film directed and co-produced by Elizabeth Banks?",2,1,Kelley Jakle | Pitch Perfect 2,Pitch Perfect 2,Pitch Perfect (film series) | Role Models | Surrender Dorothy (film) | Kelley Jakle | The Hunger Games: Mockingjay – Part 2,0.25,16.626900002360344
file_fts,formal_baseline,mh_0045,multi_hop_relation,"What is the author of the upcoming 2017 epic fantasy novel, ""Oathbringer"", best known for?",2,1,Brandon Sanderson | Oathbringer,Brandon Sanderson,Oathbringer | The Stormlight Archive | Words of Radiance | The Heir of Night | The Blinding Knife,1.0,9.795800000429153
file_fts,formal_baseline,mh_0046,multi_hop_relation,Who directed the 2015 film in which Alia Shawkat plays Gertie Michaels?,2,1,Alia Shawkat | The Final Girls,The Final Girls,Alia Shawkat | Nasty Baby | The Driftless Area | Alia Tempora | The Moment (2013 film),1.0,4.350000008940697
file_fts,formal_baseline,mh_0048,multi_hop_relation,"The Blink-182 song ""Ghost on the Dance Floor"" was speculated to be inspired by the death of a DJ that died in what year?",2,1,DJ AM | Ghost on the Dance Floor,DJ AM,Ghost on the Dance Floor | Get Together (Madonna song) | No Parking (On the Dance Floor) | Teenage Time Killers | Get on the Dance Floor,1.0,11.586300000548363
file_fts,formal_baseline,mh_0052,multi_hop_relation,Which cast member of Exit 57 also appears on BoJack Horseman ?,2,1,Amy Sedaris | Exit 57,Amy Sedaris,BoJack Horseman | List of BoJack Horseman characters | Exit 57 | List of BoJack Horseman episodes | BoJack Horseman (season 3),0.3333333333333333,3.433200016617775
file_fts,formal_baseline,mh_0054,multi_hop_relation,40 Pounds of Trouble is a retelling of the story by the newspaperman of what nationality?,2,1,40 Pounds of Trouble | Damon Runyon,Damon Runyon,40 Pounds of Trouble | Timeline of space travel by nationality | Sharon Farrell | John de Brantingham | Tonsil Trouble,1.0,2.778899997472763
file_fts,formal_baseline,mh_0055,multi_hop_relation,Which rock music fusion genre is adopted by Christian metal band Embodyment on their fourth album?,2,1,Alternative metal | Songs for the Living,Alternative metal,Songs for the Living | Gothic metal | The Narrow Scope of Things | Album | Stoner rock,1.0,6.542899996042252
file_fts,formal_baseline,mh_0056,multi_hop_relation,What Italian pop music duo stared in the 1968 film L'oro del mondo directed by Aldo Grimaldi?,2,1,Al Bano and Romina Power | L'oro del mondo,Al Bano and Romina Power,L'oro del mondo | Paths of War | W le donne | Pensando a te | Never a Dull Moment (1968 film),1.0,4.587599992752075
file_fts,formal_baseline,mh_0057,multi_hop_relation,What is the area code of the British Overseas Territory in the Caribbean?,2,1,Area code 284 | British Virgin Islands,Area code 284,Area code 664 | British Virgin Islands | Politics of Gibraltar | Area code 312 | Area code 909,0.5,3.2950000017881393
file_fts,formal_baseline,mh_0058,multi_hop_relation,"The first major project for the Roller Coaster Corporation of America was renamed, and is now called what?",2,1,Iron Rattler | Roller Coaster Corporation of America,Iron Rattler,Roller Coaster Corporation of America | Son of Beast | Apocalypse (Six Flags America) | Leviathan (roller coaster) | Maverick (roller coaster),1.0,5.42229999601841
file_fts,formal_baseline,mh_0059,multi_hop_relation,Where did Kent Patterson play his home games until he became a free agent?,2,1,Kent Patterson | Wichita Thunder,Wichita Thunder,Kent Patterson | 1993–94 Indiana Pacers season | La Turista | Lucile Patterson Marsh | 1999–2000 Sacramento Kings season,1.0,3.852300003170967
file_fts,formal_baseline,ex_date_0014,exact_file_lookup,Which document mentions an actor from a 1962 film who also appeared in The Parent Trap?,1,0,Moon Pilot,Moon Pilot,The Parent Trap (1961 film) | Parent Trap III | The Parent Trap II | Parent Trap: Hawaiian Honeymoon | The Parent Trap (song),0.0,4.283399999141693
file_fts,formal_baseline,ex_date_0017,exact_file_lookup,"Which document mentions the rank 23 for the lead single from the album ""Women in Technology"" in the United States?",1,0,White Town,White Town,Your Woman | SPARS | Abuse Me | Album | 1988 Australian Open – Women's Singles,0.0,12.089800000190735
fusion,formal_baseline,ex_date_0014,exact_file_lookup,Which document mentions an actor from a 1962 film who also appeared in The Parent Trap?,1,0,Moon Pilot,Moon Pilot,The Parent Trap (1961 film) | Parent Trap III | The Parent Trap II | Parent Trap: Hawaiian Honeymoon | The Parent Trap (song),0.0,189.6838599850734
fusion,formal_baseline,ex_date_0017,exact_file_lookup,"Which document mentions the rank 23 for the lead single from the album ""Women in Technology"" in the United States?",1,0,White Town,White Town,Album | Your Woman | Woman's Home Companion | Blurred Lines (album) | Diana Ross discography,0.0,220.43325998981794
